,demand,p1,p2,p3,p4,p5
79,10.0,92,62,40,98,44
80,10.0,37,63,48,3,59
81,10.0,12,71,30,39,16
82,10.0,98,89,76,80,84
83,10.0,34,71,9,68,24
84,10.0,51,93,71,83,63
85,10.0,58,66,3,98,49
86,10.0,73,66,53,6,28
87,10.0,71,68,4,86,88
88,10.0,73,15,58,29,65
89,10.0,93,3,88,77,54
90,10.0,54,2,32,65,91
91,10.0,23,81,68,94,43
92,10.0,25,36,19,15,38
93,10.0,39,10,36,43,9
94,10.0,81,22,23,96,34
95,10.0,52,24,58,19,6
96,10.0,64,31,97,9,49
97,10.0,26,86,59,70,18
98,10.0,85,73,48,82,77
99,10.0,14,30,20,53,36
100,10.0,89,30,3,28,7
101,10.0,71,38,32,66,96
102,10.0,91,74,8,75,6
103,10.0,98,68,77,64,43
104,10.0,25,54,73,50,62
105,10.0,62,58,2,28,68
106,10.0,38,49,25,27,57
107,10.0,95,90,48,73,74
108,10.0,1,94,15,8,92
109,10.0,35,94,65,22,93
110,10.0,40,74,53,60,6
111,10.0,8,23,95,21,58
112,10.0,16,85,5,55,5
113,10.0,46,25,47,83,12
114,10.0,23,67,7,23,12
115,10.0,61,88,12,94,61
116,10.0,8,97,52,25,56
117,10.0,76,96,60,51,37
118,10.0,95,56,79,81,32
119,10.0,77,71,44,98,70
120,10.0,2,45,44,25,27
121,10.0,34,6,19,32,91
122,10.0,58,98,54,17,61
123,10.0,40,31,26,85,26
124,10.0,44,86,53,6,58
125,10.0,72,15,64,32,10
126,10.0,15,58,31,17,91
127,10.0,98,27,65,80,37
128,10.0,78,68,70,13,38
129,10.0,76,96,57,55,85
130,10.0,20,93,5,76,70
131,10.0,11,47,75,73,71
132,10.0,59,74,50,92,73
133,10.0,8,54,70,98,25
134,10.0,97,93,6,23,59
135,10.0,5,87,15,32,60
136,10.0,17,2,32,53,48
137,10.0,89,97,49,34,29
138,10.0,11,42,84,78,49
139,10.0,1,96,87,14,90
140,10.0,85,27,37,71,3
141,10.0,38,10,15,24,24
142,10.0,90,37,82,84,70
143,10.0,84,41,14,44,48
144,10.0,31,90,58,85,76
145,10.0,10,79,60,26,63
146,10.0,51,71,20,10,39
147,10.0,42,13,64,7,80
148,10.0,79,88,47,82,20
149,10.0,52,73,89,10,87
150,10.0,75,77,88,94,76
151,10.0,72,97,88,79,51
152,10.0,62,35,54,35,69
153,10.0,90,5,31,73,86
154,10.0,26,75,7,32,79
155,10.0,30,17,19,44,95
156,10.0,46,21,91,59,26
157,10.0,30,19,34,4,23
158,10.0,34,65,45,42,16
159,10.0,59,90,48,30,10
160,10.0,50,59,59,31,34
161,10.0,42,77,3,68,58
162,10.0,54,97,25,42,51
163,10.0,23,41,90,91,33
164,10.0,78,15,27,15,79
165,10.0,10,67,97,42,43
166,10.0,59,40,22,50,68
167,10.0,29,89,4,23,65
168,10.0,90,62,57,29,48
169,10.0,55,12,86,47,32
170,10.0,74,85,23,67,4
171,10.0,61,21,78,72,45
172,10.0,44,66,73,68,45
173,10.0,93,49,12,5,32
174,10.0,9,31,97,47,8
175,10.0,4,89,8,59,87
176,10.0,78,86,1,73,20
177,10.0,15,11,72,74,95
178,10.0,73,64,86,16,2
179,10.0,25,10,35,59,42
180,10.0,52,22,30,65,51
181,10.0,25,5,4,80,91
182,10.0,25,87,18,11,18
183,10.0,12,75,92,66,90
184,10.0,8,85,76,82,35
185,10.0,55,16,31,38,70
186,10.0,54,76,47,61,81
187,10.0,8,10,89,95,67
188,10.0,81,46,1,57,94
189,10.0,37,86,22,22,17
190,10.0,36,98,56,48,80
191,10.0,92,65,31,73,58
192,10.0,46,68,47,62,73
193,10.0,1,69,64,48,92
194,10.0,64,68,88,58,12
195,10.0,23,53,92,88,60
196,10.0,75,42,95,2,1
197,10.0,91,88,98,62,70
198,10.0,81,48,86,65,48
199,10.0,25,43,69,81,11
200,10.0,1,78,37,20,92
201,10.0,7,75,1,34,55
202,10.0,60,9,20,98,73
203,10.0,9,84,73,25,44
204,10.0,75,91,54,46,16
205,10.0,57,20,92,7,41
206,10.0,66,82,31,78,65
207,10.0,6,27,15,86,42
208,10.0,55,62,8,52,8
209,10.0,22,35,56,24,59
210,10.0,56,5,63,4,35
211,10.0,29,98,44,24,64
212,10.0,14,34,51,17,97
213,10.0,32,11,67,90,79
214,10.0,78,43,63,22,93
215,10.0,30,70,52,39,26
216,10.0,4,83,91,53,56
217,10.0,47,46,84,92,75
218,10.0,6,19,14,58,60
219,10.0,24,23,94,50,26
220,10.0,28,48,87,35,65
221,10.0,52,50,75,95,92
222,10.0,83,55,17,38,42
223,10.0,69,98,69,69,59
224,10.0,78,10,79,80,98
225,10.0,31,45,33,36,7
226,10.0,23,60,87,30,84
227,10.0,44,68,74,61,95
228,10.0,40,59,15,47,61
229,10.0,82,13,69,57,83
230,10.0,18,49,60,60,18
231,10.0,47,70,77,9,2
232,10.0,29,72,87,20,98
233,10.0,45,33,20,31,71
234,10.0,85,47,29,74,56
235,10.0,78,51,43,46,36
236,10.0,65,73,43,19,80
237,10.0,29,90,45,4,53
238,10.0,83,69,97,28,66
239,10.0,42,73,95,50,84
240,10.0,37,54,49,82,84
241,10.0,22,65,1,68,30
242,10.0,19,55,71,25,39
243,10.0,44,48,4,66,49
244,10.0,83,81,20,29,63
245,10.0,25,49,5,69,19
246,10.0,32,46,69,93,91
247,10.0,83,97,39,3,96
248,10.0,80,30,86,1,82
249,10.0,24,58,38,27,48
250,10.0,97,12,7,98,51
251,10.0,11,2,48,10,14
252,10.0,91,25,75,79,71
253,10.0,41,24,77,95,79
254,10.0,65,94,52,29,2
255,10.0,44,37,36,30,55
256,10.0,23,86,85,13,51
257,10.0,49,46,15,46,79
258,10.0,39,61,95,83,41
259,10.0,19,71,9,48,83
260,10.0,77,64,15,92,57
261,10.0,5,37,16,70,28
262,10.0,78,54,92,33,51
263,10.0,48,39,98,4,74
264,10.0,63,89,65,34,41
265,10.0,71,41,96,86,73
266,10.0,84,39,11,76,90
267,10.0,90,34,18,91,53
268,10.0,34,15,41,76,21
269,10.0,57,64,48,24,46
270,10.0,60,15,60,66,33
271,10.0,32,92,60,62,22
272,10.0,85,27,95,21,50
273,10.0,78,87,56,49,73
274,10.0,83,65,92,43,60
275,10.0,10,22,33,48,28
276,10.0,30,47,55,50,21
277,10.0,73,48,89,48,90
278,10.0,4,32,46,66,67
279,10.0,44,41,25,54,31
280,10.0,95,10,91,60,49
281,10.0,87,11,33,78,34
282,10.0,23,66,46,73,29
283,10.0,31,38,24,65,70
284,10.0,39,93,30,14,36
285,10.0,84,25,68,55,56
286,10.0,82,94,43,56,13
287,10.0,71,45,63,16,77
288,10.0,58,95,6,76,72
289,10.0,7,10,50,73,3
290,10.0,68,14,49,48,86
291,10.0,61,68,21,25,11
292,10.0,11,58,46,83,26
293,10.0,21,37,66,2,4
294,10.0,58,13,71,49,72
295,10.0,43,34,9,68,36
296,10.0,88,59,52,88,87
297,10.0,64,37,72,4,93
298,10.0,96,22,18,71,39
299,10.0,4,64,64,60,27
300,10.0,83,18,75,89,78
301,10.0,91,79,86,9,31
302,10.0,70,33,84,7,98
303,10.0,12,69,63,53,20
304,10.0,45,13,55,87,42
305,10.0,1,70,30,31,94
306,10.0,90,82,29,80,53
307,10.0,80,96,75,71,23
308,10.0,78,70,97,51,91
309,10.0,95,30,74,70,1
310,10.0,27,8,39,91,72
311,10.0,1,53,47,78,95
312,10.0,56,14,67,26,12
313,10.0,25,62,44,50,48
314,10.0,96,30,33,20,46
315,10.0,50,9,94,94,11
316,10.0,49,48,84,39,76
317,10.0,5,43,65,39,55
318,10.0,71,10,27,70,91
319,10.0,92,68,18,12,87
320,10.0,88,39,87,39,4
321,10.0,48,51,16,32,59
322,10.0,38,94,1,11,5
323,10.0,23,8,23,59,49
324,10.0,22,90,48,12,33
325,10.0,27,81,78,72,38
326,10.0,17,26,28,37,72
327,10.0,2,73,97,19,35
328,10.0,32,26,55,20,72
329,10.0,91,69,95,92,46
330,10.0,51,64,63,77,4
331,10.0,20,83,46,81,83
332,10.0,39,18,98,2,31
333,10.0,86,82,11,94,2
334,10.0,89,11,16,36,43
335,10.0,7,71,76,26,29
336,10.0,85,22,27,46,18
337,10.0,64,54,83,95,66
338,10.0,96,97,98,3,14
339,10.0,26,37,65,79,1
340,10.0,20,11,52,23,35
341,10.0,80,76,82,89,8
342,10.0,38,25,59,33,70
343,10.0,75,84,61,76,61
344,10.0,84,32,69,90,53
345,10.0,70,10,83,69,15
346,10.0,3,49,26,46,11
347,10.0,15,28,25,59,6
348,10.0,15,22,41,62,29
349,10.0,91,39,68,2,16
350,10.0,66,9,86,13,9
351,10.0,51,65,20,65,8
352,10.0,70,8,5,67,70
353,10.0,98,71,4,40,24
354,10.0,77,66,23,7,9
355,10.0,11,4,92,36,93
356,10.0,17,94,72,34,59
357,10.0,44,8,38,28,94
358,10.0,71,90,89,1,61
359,10.0,21,43,56,13,30
360,10.0,93,93,45,38,66
361,10.0,85,18,51,92,33
362,10.0,11,19,16,91,22
363,10.0,47,31,9,8,43
364,10.0,59,25,57,11,60
365,10.0,72,37,3,66,66
366,10.0,41,98,29,8,32
367,10.0,1,18,73,76,8
368,10.0,47,23,39,32,61
369,10.0,85,10,57,65,45
370,10.0,64,63,37,51,7
371,10.0,81,3,40,43,96
372,10.0,31,14,22,78,68
373,10.0,63,21,70,20,41
374,10.0,25,52,3,42,3
375,10.0,16,4,83,62,92
376,10.0,13,39,18,46,23
377,10.0,31,47,27,33,69
378,10.0,42,60,82,78,77
379,10.0,48,33,64,53,45
380,10.0,23,91,57,71,36
381,10.0,37,56,50,66,41
382,10.0,2,18,48,5,32
383,10.0,22,2,85,92,49
384,10.0,78,49,78,33,82
385,10.0,81,61,30,96,96
386,10.0,61,93,7,33,85
387,10.0,14,76,46,97,9
388,10.0,90,31,56,76,79
389,10.0,62,51,24,9,63
390,10.0,27,43,24,20,37
391,10.0,56,50,85,17,25
392,10.0,20,71,29,62,9
393,10.0,33,34,1,18,64
394,10.0,38,16,35,10,47
395,10.0,87,38,14,64,4
396,10.0,15,40,47,94,45
397,10.0,14,73,97,58,22
398,10.0,71,46,44,67,19
399,10.0,60,42,12,88,30
400,10.0,86,20,83,76,17
401,10.0,42,24,27,6,90
402,10.0,18,87,85,68,85
403,10.0,60,95,7,61,98
404,10.0,69,15,24,19,88
405,10.0,25,3,16,37,25
406,10.0,2,16,43,73,47
407,10.0,76,9,27,78,68
408,10.0,18,44,36,22,6
409,10.0,20,26,97,21,79
410,10.0,58,65,5,44,94
411,10.0,5,98,81,85,54
412,10.0,5,41,24,58,53
413,10.0,42,18,34,83,90
414,10.0,61,9,2,35,49
415,10.0,54,34,58,33,41
416,10.0,41,18,35,41,60
417,10.0,35,61,55,63,43
418,10.0,77,97,3,40,55
419,10.0,37,28,20,71,47
420,10.0,44,9,89,11,40
421,10.0,59,1,74,42,13
422,10.0,90,2,39,80,51
423,10.0,61,19,84,8,79
424,10.0,61,65,44,84,2
425,10.0,67,12,64,66,1
426,10.0,46,88,98,4,69
427,10.0,87,13,31,5,40
428,10.0,67,22,7,68,65
429,10.0,42,30,11,33,13
430,10.0,83,18,78,91,97
431,10.0,16,60,94,60,12
432,10.0,29,70,64,85,5
433,10.0,82,91,6,68,10
434,10.0,91,71,27,74,87
435,10.0,72,68,68,4,52
436,10.0,36,65,32,33,22
437,10.0,4,89,64,44,23
438,10.0,98,30,15,59,21
439,10.0,3,85,58,3,19
440,10.0,86,42,91,52,14
441,10.0,39,1,61,47,9
442,10.0,58,12,80,39,15
443,10.0,85,13,20,41,12
444,10.0,76,61,95,30,88
445,10.0,28,29,12,78,55
446,10.0,49,72,93,47,39
447,10.0,91,72,53,11,53
448,10.0,56,30,98,68,23
449,10.0,65,78,32,89,35
450,10.0,80,42,87,29,89
451,10.0,8,14,79,34,15
452,10.0,78,11,11,55,36
453,10.0,41,79,52,85,16
454,10.0,86,94,33,97,3
455,10.0,24,59,81,91,62
456,10.0,67,39,21,14,72
457,10.0,82,44,15,27,3
458,10.0,96,19,4,65,59
459,10.0,63,10,16,81,42
460,10.0,73,54,47,1,41
461,10.0,6,66,90,40,54
462,10.0,30,14,62,39,86
463,10.0,84,32,34,46,70
464,10.0,71,41,64,29,71
465,10.0,1,16,12,78,15
466,10.0,83,54,87,9,23
467,10.0,37,72,32,14,95
468,10.0,2,65,36,83,94
469,10.0,57,25,86,87,70
470,10.0,97,8,43,5,24
471,10.0,1,96,21,14,23
472,10.0,42,79,25,45,10
473,10.0,88,42,40,32,93
474,10.0,28,74,2,5,21
475,10.0,7,80,19,2,12
476,10.0,29,96,19,82,36
477,10.0,60,36,63,92,91
478,10.0,17,68,27,34,90
479,10.0,67,5,44,13,30
480,10.0,10,42,77,47,86
481,10.0,62,19,11,25,24
482,10.0,89,84,60,54,21
483,10.0,1,11,58,29,6
484,10.0,29,45,57,18,88
485,10.0,34,38,10,53,76
486,10.0,94,64,22,96,84
487,10.0,81,26,74,39,77
488,10.0,96,68,1,75,72
489,10.0,44,91,62,51,73
490,10.0,16,42,7,77,12
491,10.0,14,62,85,12,98
492,10.0,45,61,19,1,53
493,10.0,85,97,71,77,61
494,10.0,83,20,4,80,93
495,10.0,80,40,68,66,81
496,10.0,51,6,83,27,77
497,10.0,21,45,20,7,4
498,10.0,22,37,63,85,97
499,10.0,95,93,49,2,33
500,10.0,95,53,53,16,64
501,10.0,86,10,17,70,27
502,10.0,29,50,87,78,93
503,10.0,89,91,38,67,65
504,10.0,87,43,8,3,44
505,10.0,13,68,53,94,43
506,10.0,92,73,50,52,58
507,10.0,4,15,48,50,3
508,10.0,69,24,19,46,87
509,10.0,51,69,13,68,21
510,10.0,79,98,40,77,24
511,10.0,64,70,75,15,78
512,10.0,90,23,2,16,27
513,10.0,39,36,78,29,32
514,10.0,88,33,54,67,34
515,10.0,31,8,62,5,49
516,10.0,76,95,89,22,72
517,10.0,67,5,87,13,9
518,10.0,28,97,85,78,4
519,10.0,32,81,64,70,45
520,10.0,71,56,49,22,55
521,10.0,8,3,93,19,51
522,10.0,59,39,92,57,57
523,10.0,43,16,88,35,61
524,10.0,63,87,55,70,98
525,10.0,23,53,13,25,67
526,10.0,67,92,72,30,29
527,10.0,8,30,83,34,61
528,10.0,66,59,39,47,9
529,10.0,92,74,59,43,24
530,10.0,11,9,18,96,25
531,10.0,85,38,98,22,46
532,10.0,75,17,53,36,53
533,10.0,42,15,89,43,17
534,10.0,47,2,23,80,28
535,10.0,2,70,25,11,34
536,10.0,37,20,72,21,34
537,10.0,34,3,89,82,68
538,10.0,28,55,63,37,42
539,10.0,71,55,60,30,75
540,10.0,8,75,17,62,54
541,10.0,67,91,59,51,84
542,10.0,62,14,6,46,77
543,10.0,6,79,72,85,75
544,10.0,5,24,49,14,59
545,10.0,74,64,75,19,61
546,10.0,84,20,98,79,68
547,10.0,57,4,49,56,18
548,10.0,29,29,90,64,31
549,10.0,63,81,86,74,50
550,10.0,90,39,87,7,50
551,10.0,40,95,27,30,40
552,10.0,48,28,9,1,85
553,10.0,40,52,73,98,35
554,10.0,70,19,66,61,77
555,10.0,63,65,27,71,77
556,10.0,79,67,53,10,55
557,10.0,79,50,89,63,21
558,10.0,53,14,75,88,60
559,10.0,94,94,40,48,41
560,10.0,17,83,57,16,88
561,10.0,68,58,70,69,72
562,10.0,55,51,12,80,28
563,10.0,36,62,14,9,1
564,10.0,2,79,31,88,46
565,10.0,53,94,92,96,96
566,10.0,38,7,12,48,81
567,10.0,43,19,26,75,81
568,10.0,3,35,32,46,56
569,10.0,74,18,45,92,37
570,10.0,11,80,12,50,31
571,10.0,86,11,56,95,95
572,10.0,2,40,45,62,37
573,10.0,65,78,4,73,61
574,10.0,22,28,64,87,91
575,10.0,84,71,97,10,78
576,10.0,84,41,64,35,50
577,10.0,50,47,41,10,19
578,10.0,67,18,87,30,86
579,10.0,54,4,98,51,8
580,10.0,91,12,81,88,53
581,10.0,43,42,9,12,91
582,10.0,58,14,89,52,5
583,10.0,94,19,46,18,50
584,10.0,97,77,66,44,90
585,10.0,61,41,40,2,17
586,10.0,54,28,81,76,1
587,10.0,80,6,56,35,61
588,10.0,27,70,19,80,17
589,10.0,57,46,66,9,24
590,10.0,14,25,48,66,93
591,10.0,60,15,74,13,45
592,10.0,65,3,77,10,82
593,10.0,5,13,41,58,51
594,10.0,69,81,45,40,17
595,10.0,73,4,6,89,71
596,10.0,31,19,25,44,64
597,10.0,12,46,84,51,50
598,10.0,45,4,61,8,54
599,10.0,88,40,82,8,67
600,10.0,69,12,72,79,25
601,10.0,9,9,32,46,90
602,10.0,93,51,65,79,29
603,10.0,52,13,35,37,24
604,10.0,87,12,9,2,18
605,10.0,41,17,96,50,52
606,10.0,57,15,75,98,35
607,10.0,82,55,77,42,49
608,10.0,93,29,14,17,90
609,10.0,25,36,27,80,30
610,10.0,74,71,38,72,59
611,10.0,6,1,42,33,34
612,10.0,12,19,36,84,2
613,10.0,28,80,49,52,81
614,10.0,14,48,24,31,75
615,10.0,40,63,28,42,64
616,10.0,94,64,71,38,91
617,10.0,14,7,43,35,8
618,10.0,62,35,57,47,20
619,10.0,26,83,80,63,73
620,10.0,19,63,70,83,45
621,10.0,38,94,81,90,57
622,10.0,29,17,74,96,18
623,10.0,84,84,85,37,84
624,10.0,86,35,79,87,67
625,10.0,34,29,27,74,12
626,10.0,88,19,85,34,57
627,10.0,83,54,10,52,54
628,10.0,12,45,34,51,43
629,10.0,95,77,93,27,92
630,10.0,11,32,20,83,28
631,10.0,84,72,39,37,81
632,10.0,5,92,45,88,59
633,10.0,1,47,5,82,71
634,10.0,61,86,98,97,19
635,10.0,43,38,43,98,23
636,10.0,32,30,53,83,57
637,10.0,48,11,34,58,96
638,10.0,66,53,24,88,43
639,10.0,2,63,10,11,15
640,10.0,73,57,8,5,2
641,10.0,38,29,9,25,19
642,10.0,40,48,9,25,78
643,10.0,9,16,84,21,19
644,10.0,69,94,74,49,34
645,10.0,14,73,84,55,42
646,10.0,97,25,77,16,6
647,10.0,68,50,54,5,37
648,10.0,17,44,30,82,86
649,10.0,34,69,67,88,15
650,10.0,7,90,35,76,96
651,10.0,75,65,84,62,4
652,10.0,13,20,90,53,36
653,10.0,78,46,7,90,95
654,10.0,97,89,15,64,95
655,10.0,81,18,67,13,38
656,10.0,32,68,77,93,11
657,10.0,63,93,14,38,43
658,10.0,22,22,34,65,70
659,10.0,24,94,61,16,2
660,10.0,97,79,44,61,88
661,10.0,2,97,82,33,12
662,10.0,50,67,51,80,28
663,10.0,42,2,61,33,4
664,10.0,91,61,41,56,70
665,10.0,62,16,48,71,67
666,10.0,92,31,9,93,28
667,10.0,49,2,32,23,12
668,10.0,81,97,26,9,72
669,10.0,43,10,56,44,12
670,10.0,60,76,25,2,44
671,10.0,22,80,52,31,21
672,10.0,51,39,6,65,92
673,10.0,65,45,84,90,29
674,10.0,27,35,13,14,51
675,10.0,3,20,84,4,77
676,10.0,41,36,69,96,57
677,10.0,25,90,4,80,54
678,10.0,85,81,65,11,86
679,10.0,93,75,74,85,84
680,10.0,91,14,55,44,9
681,10.0,5,91,45,23,51
682,10.0,12,40,96,25,30
683,10.0,21,74,22,61,96
684,10.0,92,64,1,25,34
685,10.0,91,68,21,94,92
686,10.0,90,79,90,33,14
687,10.0,25,38,31,96,32
688,10.0,97,2,35,53,2
689,10.0,61,17,62,89,58
690,10.0,2,79,45,6,87
691,10.0,27,53,68,38,15
692,10.0,38,87,26,19,23
693,10.0,70,12,15,92,50
694,10.0,12,65,50,83,92
695,10.0,35,34,7,53,51
696,10.0,76,25,83,44,33
697,10.0,94,87,13,47,45
698,10.0,28,7,29,41,37
699,10.0,8,94,4,52,48
700,10.0,43,6,36,40,54
701,10.0,69,24,30,44,38
702,10.0,81,68,67,57,10
703,10.0,80,68,44,18,81
704,10.0,78,23,49,53,37
705,10.0,70,57,43,70,30
706,10.0,48,14,44,71,91
707,10.0,26,30,49,89,76
708,10.0,61,17,79,1,50
709,10.0,93,80,17,98,96
710,10.0,81,46,95,6,37
711,10.0,84,27,53,17,38
712,10.0,18,77,27,62,35
713,10.0,64,30,84,50,12
714,10.0,59,15,15,1,50
715,10.0,61,16,89,65,93
716,10.0,88,14,3,16,64
717,10.0,38,48,9,28,40
718,10.0,5,71,91,18,62
719,10.0,73,85,89,31,7
720,10.0,80,81,88,83,90
721,10.0,32,7,47,79,66
722,10.0,8,61,47,23,23
723,10.0,3,43,25,9,86
724,10.0,14,32,73,33,38
725,10.0,6,27,43,88,94
726,10.0,2,32,57,77,24
727,10.0,79,24,16,94,45
728,10.0,70,90,84,36,58
729,10.0,44,21,20,15,35
730,10.0,75,18,95,92,15
731,10.0,98,9,87,21,7
732,10.0,70,6,33,59,59
733,10.0,13,8,62,38,81
734,10.0,82,52,14,43,28
735,10.0,32,85,26,14,53
736,10.0,7,27,71,31,21
737,10.0,9,78,52,19,61
738,10.0,51,23,47,11,93
739,10.0,96,48,4,84,5
740,10.0,69,59,19,45,20
741,10.0,95,19,81,47,76
742,10.0,8,52,49,44,42
743,10.0,75,17,84,37,18
744,10.0,44,10,64,90,66
745,10.0,22,46,3,10,13
746,10.0,98,58,98,39,55
747,10.0,88,14,36,49,31
748,10.0,45,83,83,82,55
749,10.0,83,52,56,55,93
750,10.0,49,56,80,86,67
751,10.0,41,10,46,36,59
752,10.0,84,62,61,28,38
753,10.0,67,20,37,16,10
754,10.0,30,14,25,25,11
755,10.0,34,31,21,26,74
756,10.0,19,46,9,97,46
757,10.0,65,48,80,18,32
758,10.0,11,17,32,41,80
759,10.0,18,59,19,87,94
760,10.0,23,36,25,44,35
761,10.0,17,47,76,41,63
762,10.0,51,34,16,69,34
763,10.0,23,15,94,41,66
764,10.0,45,8,49,57,47
765,10.0,96,51,54,74,8
766,10.0,95,20,71,59,95
767,10.0,35,59,88,18,68
768,10.0,79,33,42,67,4
769,10.0,71,9,81,1,51
770,10.0,28,30,44,11,40
771,10.0,5,14,85,59,48
772,10.0,14,40,79,38,41
773,10.0,41,59,75,3,22
774,10.0,32,81,91,23,53
775,10.0,38,81,77,86,68
776,10.0,85,26,10,81,27
777,10.0,11,97,3,16,4
778,10.0,7,72,34,69,23
779,10.0,17,34,78,91,73
780,10.0,96,10,10,48,75
781,10.0,14,7,72,72,31
782,10.0,37,31,46,22,44
783,10.0,97,51,48,24,25
784,10.0,97,57,44,15,70
785,10.0,15,7,41,41,76
786,10.0,57,9,58,93,87
787,10.0,14,76,94,2,87
788,10.0,19,3,19,11,49
789,10.0,39,19,10,14,13
790,10.0,37,90,85,87,81
791,10.0,6,8,50,67,67
792,10.0,17,94,60,56,38
793,10.0,29,1,38,73,3
794,10.0,1,94,82,84,21
795,10.0,71,89,76,78,60
796,10.0,31,48,65,4,12
797,10.0,93,6,36,76,90
798,10.0,96,95,83,91,41
799,10.0,7,48,6,14,63
800,10.0,82,62,89,34,55
801,10.0,76,56,34,27,92
802,10.0,2,84,22,76,49
803,10.0,94,26,32,55,57
804,10.0,14,64,18,3,19
805,10.0,54,92,97,20,16
806,10.0,32,5,9,39,31
807,10.0,88,56,93,42,55
808,10.0,9,52,22,91,50
809,10.0,36,8,45,33,8
810,10.0,93,27,95,65,20
811,10.0,34,48,53,39,31
812,10.0,26,47,3,84,60
813,10.0,41,45,75,74,68
814,10.0,11,6,58,67,84
815,10.0,62,60,50,13,80
816,10.0,4,30,20,13,9
817,10.0,50,48,45,97,45
818,10.0,32,97,67,88,96
819,10.0,79,62,49,91,30
820,10.0,75,60,79,20,43
821,10.0,11,3,50,97,12
822,10.0,83,30,4,34,19
823,10.0,85,96,9,16,46
824,10.0,27,95,50,71,52
825,10.0,77,42,54,6,87
826,10.0,66,84,49,61,72
827,10.0,33,79,43,64,96
828,10.0,78,64,44,31,24
829,10.0,88,60,11,55,32
830,10.0,40,65,40,51,76
831,10.0,69,63,76,23,57
832,10.0,27,65,86,27,74
833,10.0,57,35,84,84,22
834,10.0,47,15,57,12,74
835,10.0,13,6,68,93,61
836,10.0,71,60,84,57,63
837,10.0,60,13,21,26,78
838,10.0,81,29,74,23,12
839,10.0,71,88,38,73,12
840,10.0,79,70,63,52,93
841,10.0,64,22,58,33,5
842,10.0,86,81,1,58,69
843,10.0,54,43,28,47,1
844,10.0,7,95,84,23,90
845,10.0,87,40,7,40,58
846,10.0,78,65,9,36,73
847,10.0,61,63,21,54,68
848,10.0,29,12,25,94,9
849,10.0,7,84,66,78,68
850,10.0,56,71,28,79,73
851,10.0,17,46,45,41,33
852,10.0,14,59,76,80,28
853,10.0,26,30,37,41,55
854,10.0,59,35,26,92,14
855,10.0,64,6,74,29,47
856,10.0,57,57,79,71,95
857,10.0,21,83,59,53,4
858,10.0,78,84,77,44,69
859,10.0,26,2,17,49,96
860,10.0,42,49,47,57,32
861,10.0,38,42,18,44,16
862,10.0,98,95,34,87,54
863,10.0,50,21,87,34,22
864,10.0,41,94,48,61,75
865,10.0,25,60,43,58,73
866,10.0,82,50,62,77,18
867,10.0,50,11,92,88,42
868,10.0,46,88,51,98,79
869,10.0,22,74,35,81,76
870,10.0,6,26,67,10,25
871,10.0,98,59,53,74,44
