,demand,p1,p2,p3,p4,p5
216,10.0,82,29,93,39,38
217,10.0,54,67,39,13,38
218,10.0,76,95,39,40,59
219,10.0,55,11,91,11,66
220,10.0,60,56,38,39,66
221,10.0,24,47,39,4,30
222,10.0,38,98,68,53,62
223,10.0,94,64,82,14,90
224,10.0,15,24,69,88,78
225,10.0,41,83,60,75,65
226,10.0,25,34,93,63,64
227,10.0,78,45,84,88,95
228,10.0,23,77,94,43,56
229,10.0,75,37,40,46,30
230,10.0,35,85,60,55,28
231,10.0,96,63,72,53,47
232,10.0,44,45,60,23,84
233,10.0,72,22,61,12,52
234,10.0,26,4,21,96,25
235,10.0,58,61,93,96,89
236,10.0,3,62,61,47,83
237,10.0,85,52,63,90,69
238,10.0,89,86,13,44,19
239,10.0,14,62,87,11,14
240,10.0,78,25,68,91,37
241,10.0,40,37,82,89,38
242,10.0,71,77,15,17,90
243,10.0,45,1,70,33,92
244,10.0,52,40,32,4,86
245,10.0,47,74,18,54,14
246,10.0,50,60,91,1,22
247,10.0,71,59,53,78,73
248,10.0,81,29,59,33,37
249,10.0,81,44,49,47,45
250,10.0,33,37,12,60,45
251,10.0,40,37,41,21,78
252,10.0,65,85,27,42,96
253,10.0,86,6,58,3,95
254,10.0,86,49,77,79,2
255,10.0,92,74,50,22,22
256,10.0,35,33,65,58,30
257,10.0,6,87,56,79,12
258,10.0,26,22,90,17,47
259,10.0,65,97,70,19,84
260,10.0,22,31,42,66,87
261,10.0,97,48,51,22,49
262,10.0,27,11,84,98,39
263,10.0,88,8,75,74,31
264,10.0,14,20,42,21,77
265,10.0,14,76,40,75,73
266,10.0,27,55,79,19,60
267,10.0,51,26,31,95,35
268,10.0,97,69,5,32,53
269,10.0,94,27,90,15,94
270,10.0,63,68,31,97,60
271,10.0,19,5,40,2,35
272,10.0,1,38,13,76,69
273,10.0,15,86,66,7,94
274,10.0,92,58,95,50,13
275,10.0,40,9,36,1,8
276,10.0,23,79,97,51,60
277,10.0,83,91,11,22,26
278,10.0,5,14,66,25,67
279,10.0,55,96,97,43,90
280,10.0,81,97,15,13,72
281,10.0,45,95,86,25,26
282,10.0,10,29,20,69,41
283,10.0,98,76,37,51,21
284,10.0,17,22,70,41,97
285,10.0,32,71,33,18,59
286,10.0,56,49,13,83,62
287,10.0,30,53,90,9,45
288,10.0,77,4,44,54,63
289,10.0,47,72,63,84,65
290,10.0,88,31,84,78,20
291,10.0,1,66,71,66,79
292,10.0,79,80,13,93,79
293,10.0,68,11,1,39,42
294,10.0,25,31,45,10,81
295,10.0,23,24,56,21,88
296,10.0,21,94,11,30,57
297,10.0,13,20,87,33,82
298,10.0,82,83,19,89,56
299,10.0,97,92,92,90,56
300,10.0,61,68,26,47,5
301,10.0,2,95,39,34,61
302,10.0,70,33,88,47,95
303,10.0,81,11,68,6,39
304,10.0,48,12,3,86,27
305,10.0,75,46,81,27,68
306,10.0,26,10,19,86,74
307,10.0,54,84,46,25,62
308,10.0,35,46,63,44,37
309,10.0,2,64,94,69,54
310,10.0,13,96,19,97,60
311,10.0,30,66,80,93,92
312,10.0,64,80,17,76,12
313,10.0,24,43,9,65,88
314,10.0,69,18,10,33,58
315,10.0,39,32,96,28,58
316,10.0,92,62,92,36,4
317,10.0,29,3,43,45,39
318,10.0,70,16,68,96,56
319,10.0,84,73,73,72,32
320,10.0,91,51,20,8,86
321,10.0,2,51,96,82,47
322,10.0,17,84,75,81,11
323,10.0,81,75,50,48,87
324,10.0,82,94,47,90,88
325,10.0,42,92,86,26,7
326,10.0,55,47,41,87,80
327,10.0,28,75,1,7,35
328,10.0,33,42,24,50,69
329,10.0,64,16,69,81,15
330,10.0,2,33,33,46,21
331,10.0,40,98,94,7,92
332,10.0,63,16,47,82,83
333,10.0,52,36,68,8,68
334,10.0,33,9,10,55,78
335,10.0,41,13,40,39,59
336,10.0,61,73,25,91,47
337,10.0,21,94,63,61,5
338,10.0,17,18,34,27,19
339,10.0,20,32,78,52,65
340,10.0,91,98,74,16,37
341,10.0,66,66,65,15,14
342,10.0,43,57,92,49,30
343,10.0,13,18,15,14,97
344,10.0,59,14,96,66,37
345,10.0,89,3,1,72,41
346,10.0,32,61,39,6,95
347,10.0,42,58,65,70,8
348,10.0,30,44,68,48,74
349,10.0,20,33,70,31,4
350,10.0,35,28,89,34,33
351,10.0,11,8,93,8,5
352,10.0,82,26,55,69,58
353,10.0,74,90,92,97,22
354,10.0,12,18,88,51,71
355,10.0,55,85,91,57,97
356,10.0,91,5,36,23,58
357,10.0,77,71,80,78,54
358,10.0,34,61,81,50,42
359,10.0,61,85,27,57,74
360,10.0,23,80,90,13,30
361,10.0,23,86,2,2,45
362,10.0,26,58,12,72,64
363,10.0,90,82,82,70,34
364,10.0,46,50,47,92,39
365,10.0,58,13,66,64,82
366,10.0,24,22,50,28,49
367,10.0,65,89,24,33,54
368,10.0,8,23,47,6,23
369,10.0,86,82,82,51,23
370,10.0,32,66,48,81,84
371,10.0,32,96,91,39,20
372,10.0,56,60,94,81,58
373,10.0,76,77,65,97,9
374,10.0,19,18,41,58,5
375,10.0,98,1,77,60,73
376,10.0,65,39,97,13,39
377,10.0,94,7,59,43,44
378,10.0,86,9,87,49,37
379,10.0,84,97,50,10,39
380,10.0,51,18,31,23,49
381,10.0,97,71,53,72,87
382,10.0,3,79,68,85,42
383,10.0,59,76,36,91,88
384,10.0,1,62,75,5,15
385,10.0,32,24,28,30,42
386,10.0,12,42,41,16,26
387,10.0,62,67,22,18,23
388,10.0,85,17,84,76,45
389,10.0,38,60,2,49,7
390,10.0,49,60,84,46,73
391,10.0,98,72,28,18,3
392,10.0,76,1,81,20,84
393,10.0,52,16,7,2,28
394,10.0,10,58,47,24,86
395,10.0,38,93,79,2,98
396,10.0,15,53,28,66,63
397,10.0,75,78,27,47,96
398,10.0,60,93,54,94,63
399,10.0,44,26,60,59,36
400,10.0,84,46,9,7,72
401,10.0,10,84,55,43,19
402,10.0,87,97,76,45,67
403,10.0,33,38,60,2,56
404,10.0,16,8,32,31,72
405,10.0,21,73,56,3,73
406,10.0,91,64,81,71,78
407,10.0,79,44,76,44,46
408,10.0,42,51,50,32,42
409,10.0,13,8,37,44,52
410,10.0,86,81,77,9,25
411,10.0,61,25,18,75,80
412,10.0,4,22,77,90,4
413,10.0,73,27,90,7,39
414,10.0,62,97,81,44,53
415,10.0,39,46,19,35,91
416,10.0,42,55,28,57,90
417,10.0,1,82,43,32,72
418,10.0,9,73,8,18,57
419,10.0,39,93,41,63,85
420,10.0,39,22,77,10,38
421,10.0,49,93,27,78,16
422,10.0,42,60,44,68,87
423,10.0,46,87,91,94,73
424,10.0,71,85,47,60,32
425,10.0,42,73,89,56,92
426,10.0,8,75,53,37,83
427,10.0,52,13,30,68,28
428,10.0,92,63,18,83,19
429,10.0,4,70,28,7,76
430,10.0,7,90,53,82,82
431,10.0,13,53,79,8,84
432,10.0,55,55,96,85,66
433,10.0,22,86,82,27,9
434,10.0,36,27,24,87,12
435,10.0,61,5,87,77,20
436,10.0,19,87,86,62,27
437,10.0,86,66,84,79,80
438,10.0,56,13,77,58,26
439,10.0,37,16,52,51,52
440,10.0,89,17,11,56,68
441,10.0,7,92,22,81,5
442,10.0,38,16,57,26,29
443,10.0,81,68,53,27,70
444,10.0,4,67,51,35,31
445,10.0,56,14,11,29,98
446,10.0,73,9,81,49,37
447,10.0,30,14,35,7,96
448,10.0,73,39,91,42,6
449,10.0,50,87,62,41,16
450,10.0,2,32,71,33,84
451,10.0,4,55,47,41,18
452,10.0,52,78,97,28,69
453,10.0,71,80,37,12,30
454,10.0,72,76,2,43,17
455,10.0,57,37,48,52,37
456,10.0,67,73,61,20,66
457,10.0,33,31,43,49,38
458,10.0,40,4,9,30,34
459,10.0,58,35,2,17,26
460,10.0,45,35,16,89,13
461,10.0,10,8,17,52,23
462,10.0,5,81,88,58,10
463,10.0,97,81,54,75,65
464,10.0,20,37,66,3,4
465,10.0,19,69,79,12,33
466,10.0,61,49,10,76,34
467,10.0,11,75,26,61,83
468,10.0,44,91,30,41,35
469,10.0,17,35,16,23,86
470,10.0,51,72,84,72,55
471,10.0,30,95,48,46,3
472,10.0,94,77,85,82,62
473,10.0,82,14,31,81,42
474,10.0,33,16,89,86,8
475,10.0,76,89,52,79,75
476,10.0,11,75,1,77,54
477,10.0,67,94,32,62,9
478,10.0,98,17,81,4,62
479,10.0,47,73,2,29,70
480,10.0,91,5,86,18,20
481,10.0,37,36,9,18,78
482,10.0,78,51,6,23,7
483,10.0,48,36,58,35,42
484,10.0,35,40,67,30,42
485,10.0,77,80,28,13,15
486,10.0,26,39,19,89,25
487,10.0,62,14,74,81,35
488,10.0,65,6,54,53,23
489,10.0,31,2,72,26,49
490,10.0,51,82,49,15,53
491,10.0,17,81,27,82,50
492,10.0,89,22,8,60,28
493,10.0,92,60,60,86,86
494,10.0,21,74,78,15,43
495,10.0,17,94,87,82,45
496,10.0,12,77,51,20,98
497,10.0,9,78,20,95,73
498,10.0,47,71,45,43,39
499,10.0,13,87,36,98,8
500,10.0,92,93,33,89,31
501,10.0,9,92,3,91,72
502,10.0,97,98,45,94,44
503,10.0,16,87,46,86,5
504,10.0,47,75,87,62,88
505,10.0,21,84,22,81,90
506,10.0,29,78,42,60,82
507,10.0,10,33,25,74,12
508,10.0,5,70,75,71,24
509,10.0,49,77,79,70,29
510,10.0,27,86,28,65,59
511,10.0,58,49,49,66,96
512,10.0,63,8,38,55,37
513,10.0,80,52,91,83,75
514,10.0,46,89,72,87,20
515,10.0,13,74,53,74,41
516,10.0,19,88,33,93,30
517,10.0,62,87,67,92,45
518,10.0,35,89,47,65,10
519,10.0,1,10,14,40,95
520,10.0,10,71,91,91,27
521,10.0,17,91,1,15,25
522,10.0,68,11,77,58,55
523,10.0,30,72,59,73,52
524,10.0,30,92,65,29,59
525,10.0,86,57,19,49,50
526,10.0,74,60,94,24,5
527,10.0,83,55,73,97,48
528,10.0,34,69,93,28,44
529,10.0,62,96,52,11,94
530,10.0,74,26,21,93,10
531,10.0,64,31,62,93,32
532,10.0,37,44,26,8,91
533,10.0,78,19,82,33,90
534,10.0,26,98,44,28,2
535,10.0,36,87,74,93,13
536,10.0,13,83,83,60,47
537,10.0,1,13,39,82,90
538,10.0,56,62,12,9,23
539,10.0,87,78,60,92,5
540,10.0,92,12,54,29,65
541,10.0,86,11,27,37,31
542,10.0,41,54,47,59,73
543,10.0,84,38,38,67,96
544,10.0,20,22,78,51,13
545,10.0,88,2,89,72,62
546,10.0,18,52,79,83,80
547,10.0,75,38,71,84,81
548,10.0,49,81,15,10,5
549,10.0,11,13,74,94,23
550,10.0,91,46,62,39,72
551,10.0,15,88,57,28,5
552,10.0,46,85,39,35,41
553,10.0,50,29,97,56,2
554,10.0,19,86,51,71,64
555,10.0,58,48,64,78,16
556,10.0,94,47,41,8,60
557,10.0,30,88,8,51,90
558,10.0,79,81,58,27,84
559,10.0,8,51,11,40,89
560,10.0,82,55,60,76,76
561,10.0,27,67,52,26,78
562,10.0,63,94,14,37,82
563,10.0,27,56,70,32,38
564,10.0,3,41,6,50,4
565,10.0,4,17,19,14,36
566,10.0,30,22,48,35,54
567,10.0,56,48,44,36,3
568,10.0,80,30,68,79,50
569,10.0,26,79,62,44,31
570,10.0,8,94,83,45,81
571,10.0,6,25,81,8,63
572,10.0,18,57,66,20,42
573,10.0,41,1,5,48,2
574,10.0,13,77,1,3,27
575,10.0,11,43,73,45,8
576,10.0,47,7,83,12,47
577,10.0,8,73,74,32,49
578,10.0,69,71,66,16,57
579,10.0,82,36,63,49,31
580,10.0,64,97,75,32,27
581,10.0,74,46,72,95,17
582,10.0,30,61,33,85,35
583,10.0,54,49,93,38,68
584,10.0,49,95,46,16,7
585,10.0,47,29,57,55,64
586,10.0,27,57,94,32,49
587,10.0,45,50,22,4,96
588,10.0,22,77,9,37,9
589,10.0,89,16,63,60,46
590,10.0,46,69,40,5,65
591,10.0,26,60,93,49,49
592,10.0,36,62,47,78,8
593,10.0,18,28,57,62,25
594,10.0,27,40,76,23,21
595,10.0,6,89,61,34,38
596,10.0,87,38,87,33,93
597,10.0,74,44,60,46,96
598,10.0,25,85,79,28,82
599,10.0,1,36,55,56,34
600,10.0,29,44,26,48,2
601,10.0,77,95,83,80,75
602,10.0,73,71,79,52,7
603,10.0,65,24,58,91,68
604,10.0,65,32,5,88,23
605,10.0,79,18,6,37,98
606,10.0,89,55,94,81,30
607,10.0,61,59,92,6,6
608,10.0,2,73,41,16,87
609,10.0,16,85,32,79,15
610,10.0,27,36,95,62,15
611,10.0,8,37,80,90,23
612,10.0,50,21,82,38,42
613,10.0,5,98,39,23,53
614,10.0,89,34,95,41,77
615,10.0,18,28,95,67,47
616,10.0,62,57,17,38,2
617,10.0,18,88,38,37,31
618,10.0,52,84,79,84,30
619,10.0,61,59,96,81,30
620,10.0,77,56,29,97,97
621,10.0,65,75,83,25,72
622,10.0,95,72,94,55,13
623,10.0,17,54,25,5,31
624,10.0,90,15,67,84,68
625,10.0,24,33,56,45,17
626,10.0,20,16,15,7,48
627,10.0,62,80,85,84,27
628,10.0,29,6,21,64,16
629,10.0,52,26,85,46,62
630,10.0,15,93,65,26,43
631,10.0,6,16,74,41,37
632,10.0,27,41,27,12,59
633,10.0,28,15,93,38,95
634,10.0,48,69,44,74,83
635,10.0,69,91,97,48,17
636,10.0,3,43,39,59,26
637,10.0,28,33,58,95,39
638,10.0,67,77,69,32,55
639,10.0,83,19,49,68,1
640,10.0,55,58,54,12,80
641,10.0,23,85,36,94,49
642,10.0,8,53,23,96,57
643,10.0,83,92,8,13,31
644,10.0,27,54,98,79,19
645,10.0,20,37,66,24,91
646,10.0,14,6,54,6,48
647,10.0,56,82,68,84,19
648,10.0,69,51,23,41,66
649,10.0,55,57,25,15,98
650,10.0,19,66,25,32,3
651,10.0,83,6,30,8,46
652,10.0,38,81,39,42,36
653,10.0,84,29,88,73,47
654,10.0,74,59,64,46,29
655,10.0,43,40,70,28,39
656,10.0,36,68,4,3,18
657,10.0,87,31,84,20,16
658,10.0,32,41,20,46,12
659,10.0,76,35,68,50,24
660,10.0,2,30,68,39,86
661,10.0,96,62,82,40,22
662,10.0,62,89,48,64,20
663,10.0,74,13,82,75,36
664,10.0,50,48,56,93,77
665,10.0,75,33,54,3,22
666,10.0,34,82,20,14,61
667,10.0,23,77,89,15,51
668,10.0,15,66,20,23,60
669,10.0,28,84,64,19,33
670,10.0,48,88,14,85,10
671,10.0,5,90,81,32,47
672,10.0,28,44,50,62,8
673,10.0,10,82,6,6,17
674,10.0,68,43,8,93,79
675,10.0,78,66,81,77,94
676,10.0,20,38,36,18,36
677,10.0,91,34,5,60,18
678,10.0,47,68,67,32,4
679,10.0,61,12,26,35,97
680,10.0,70,40,90,36,80
681,10.0,50,76,74,5,95
682,10.0,18,94,36,13,56
683,10.0,94,20,41,76,18
684,10.0,26,18,97,20,96
685,10.0,4,83,97,76,66
686,10.0,70,96,75,13,69
687,10.0,27,32,42,85,34
688,10.0,6,10,14,77,79
689,10.0,47,95,35,80,2
690,10.0,95,84,77,1,3
691,10.0,85,71,85,21,57
692,10.0,81,18,79,94,95
693,10.0,21,42,66,56,43
694,10.0,97,60,56,60,51
695,10.0,89,51,54,46,16
696,10.0,79,54,77,32,58
697,10.0,53,7,29,20,8
698,10.0,67,80,40,94,96
699,10.0,36,57,11,4,88
700,10.0,12,36,92,25,4
701,10.0,31,39,82,14,89
702,10.0,56,75,79,22,4
703,10.0,84,37,27,84,62
704,10.0,58,25,70,94,18
705,10.0,63,31,74,59,87
706,10.0,17,92,44,49,53
707,10.0,35,74,85,77,85
708,10.0,37,27,69,50,21
709,10.0,47,14,23,80,33
710,10.0,56,20,1,35,12
711,10.0,59,36,43,64,16
712,10.0,98,29,14,94,20
713,10.0,62,61,33,68,44
714,10.0,37,6,98,53,70
715,10.0,38,98,96,37,83
716,10.0,39,51,96,35,38
717,10.0,97,23,55,68,81
718,10.0,41,98,29,55,40
719,10.0,49,60,35,37,57
720,10.0,34,32,39,66,42
721,10.0,82,89,55,83,68
722,10.0,14,8,37,89,6
723,10.0,36,80,96,28,20
724,10.0,67,94,29,74,96
725,10.0,11,50,30,40,39
726,10.0,9,46,57,19,37
727,10.0,73,58,15,81,85
728,10.0,39,14,9,80,72
729,10.0,31,24,16,71,41
730,10.0,75,38,74,80,37
731,10.0,35,24,52,47,19
732,10.0,74,83,13,31,23
733,10.0,20,89,71,23,32
734,10.0,85,98,9,94,11
735,10.0,43,96,37,2,23
736,10.0,37,16,4,41,16
737,10.0,35,55,36,27,44
738,10.0,71,29,39,3,39
739,10.0,52,77,70,98,60
740,10.0,70,85,85,48,14
741,10.0,14,66,45,61,24
742,10.0,40,55,63,19,39
743,10.0,54,78,20,59,79
744,10.0,84,86,69,23,54
745,10.0,97,88,67,76,35
746,10.0,71,35,74,13,15
747,10.0,86,92,66,55,74
748,10.0,89,24,81,65,75
749,10.0,49,47,18,41,51
750,10.0,50,52,74,75,70
751,10.0,8,39,25,22,44
752,10.0,22,83,54,13,72
753,10.0,6,66,19,96,58
754,10.0,70,91,9,51,46
755,10.0,97,47,81,73,79
756,10.0,40,19,8,54,27
757,10.0,59,24,91,9,2
758,10.0,14,24,34,2,34
759,10.0,56,27,20,25,87
760,10.0,91,60,54,8,43
761,10.0,85,74,18,55,62
762,10.0,35,6,82,14,88
763,10.0,67,4,24,45,10
764,10.0,75,88,54,26,61
765,10.0,12,7,91,80,13
766,10.0,28,54,7,23,83
767,10.0,41,64,72,58,92
768,10.0,71,98,7,94,52
769,10.0,88,36,42,97,22
770,10.0,68,3,15,2,34
771,10.0,7,75,88,45,21
772,10.0,81,58,69,54,43
773,10.0,10,74,30,10,3
774,10.0,60,86,83,14,30
775,10.0,90,45,85,43,79
776,10.0,83,93,51,53,43
777,10.0,16,7,26,55,19
778,10.0,95,53,72,40,78
779,10.0,82,10,51,62,68
780,10.0,77,36,81,10,21
781,10.0,51,62,35,11,26
782,10.0,53,26,75,16,97
783,10.0,2,94,7,10,64
784,10.0,40,77,68,85,5
785,10.0,36,97,62,45,52
786,10.0,39,66,14,88,33
787,10.0,88,31,32,95,69
788,10.0,11,33,10,11,27
789,10.0,66,50,84,5,50
790,10.0,65,79,69,79,37
791,10.0,90,5,14,95,89
792,10.0,35,72,64,59,38
793,10.0,81,14,17,29,53
794,10.0,88,50,30,12,22
795,10.0,29,50,49,3,64
796,10.0,15,71,49,38,18
797,10.0,6,63,45,70,68
798,10.0,98,86,14,55,25
799,10.0,90,50,1,7,75
800,10.0,30,49,21,51,84
801,10.0,70,89,4,60,34
802,10.0,10,83,91,36,12
803,10.0,38,26,27,92,33
804,10.0,77,77,83,38,9
805,10.0,60,27,85,16,55
806,10.0,59,1,94,56,52
807,10.0,22,85,5,85,61
808,10.0,4,37,14,64,8
809,10.0,56,46,95,93,53
810,10.0,30,1,38,10,88
811,10.0,56,36,1,80,98
812,10.0,78,14,56,47,12
813,10.0,39,16,67,67,50
814,10.0,19,48,83,19,58
815,10.0,32,83,18,90,6
816,10.0,79,7,12,29,2
817,10.0,21,2,76,51,50
818,10.0,86,4,94,10,44
819,10.0,45,42,88,24,92
820,10.0,13,59,56,79,23
821,10.0,47,68,67,15,42
822,10.0,63,19,59,31,87
823,10.0,98,26,40,67,60
824,10.0,96,46,3,42,47
825,10.0,50,11,29,9,24
826,10.0,80,6,78,12,89
827,10.0,58,24,86,48,49
828,10.0,79,43,12,32,34
829,10.0,45,63,68,78,5
830,10.0,98,11,25,54,86
831,10.0,62,74,24,16,45
832,10.0,68,34,22,94,71
833,10.0,14,24,41,41,65
834,10.0,27,93,34,18,26
835,10.0,30,86,19,93,22
836,10.0,34,44,89,41,66
837,10.0,48,8,55,2,35
838,10.0,19,15,28,24,25
839,10.0,33,91,97,55,15
840,10.0,5,49,39,52,54
841,10.0,68,41,59,15,57
842,10.0,90,30,93,59,59
843,10.0,98,11,69,49,33
844,10.0,8,63,97,7,69
845,10.0,46,76,54,40,36
846,10.0,27,78,88,25,30
847,10.0,92,80,93,28,35
848,10.0,34,44,90,59,45
849,10.0,85,85,48,97,82
850,10.0,3,70,42,92,24
851,10.0,90,31,5,52,12
852,10.0,19,23,54,7,51
853,10.0,14,48,45,36,37
854,10.0,23,39,89,8,93
855,10.0,57,79,43,74,94
856,10.0,96,43,33,29,48
857,10.0,85,53,26,86,4
858,10.0,30,12,23,75,85
859,10.0,17,42,59,60,94
860,10.0,95,80,44,98,84
861,10.0,80,61,94,60,65
862,10.0,75,29,72,76,42
863,10.0,26,95,59,93,37
864,10.0,5,3,53,75,29
865,10.0,57,72,93,51,56
866,10.0,2,74,20,77,37
867,10.0,93,53,14,67,9
868,10.0,22,4,14,63,39
869,10.0,29,11,61,55,96
870,10.0,25,94,58,30,19
871,10.0,83,46,95,95,73
