,demand,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
99,10.0,56,78,98,58,39,68,19,95,25,80
100,10.0,52,17,92,11,49,31,11,28,70,57
101,10.0,68,29,50,56,33,8,75,54,65,68
102,10.0,10,92,45,61,89,9,97,3,52,45
103,10.0,93,91,11,55,47,54,25,50,67,33
104,10.0,31,69,31,79,97,35,21,78,86,35
105,10.0,30,13,58,63,65,96,71,85,2,93
106,10.0,53,87,23,95,53,30,51,28,56,25
107,10.0,88,49,86,49,83,64,65,55,34,22
108,10.0,92,95,34,23,44,34,91,30,79,27
109,10.0,84,4,71,24,37,53,60,92,75,21
110,10.0,19,13,54,9,24,46,96,42,83,17
111,10.0,65,16,66,7,79,15,34,2,71,78
112,10.0,84,2,95,70,22,85,43,6,91,75
113,10.0,47,87,13,8,18,15,43,43,76,37
114,10.0,45,2,38,52,4,38,20,27,51,22
115,10.0,66,39,40,98,57,5,73,48,9,73
116,10.0,5,46,2,34,82,39,67,37,20,14
117,10.0,77,85,54,25,18,88,40,37,11,22
118,10.0,72,50,54,45,54,96,91,46,90,20
119,10.0,7,17,52,3,59,80,92,77,70,53
120,10.0,59,71,53,48,26,86,68,69,60,23
121,10.0,46,2,97,44,86,90,44,53,63,18
122,10.0,54,12,52,49,7,83,49,9,33,88
123,10.0,52,94,92,79,27,81,55,82,67,83
124,10.0,70,35,33,30,6,79,77,54,1,79
125,10.0,68,64,79,19,79,50,7,31,94,83
126,10.0,54,62,23,24,76,77,78,47,91,53
127,10.0,69,30,15,9,43,62,8,34,49,39
128,10.0,36,97,29,49,55,93,33,98,7,89
129,10.0,90,4,29,68,52,90,60,13,83,12
130,10.0,75,89,42,95,34,62,38,27,75,76
131,10.0,74,18,46,16,74,45,50,83,69,12
132,10.0,30,54,14,53,13,70,30,13,22,95
133,10.0,89,15,21,96,88,92,85,23,88,59
134,10.0,62,93,35,77,40,59,81,48,23,90
135,10.0,31,40,71,36,32,96,19,71,28,20
136,10.0,35,31,8,49,71,55,9,63,1,91
137,10.0,53,12,34,30,81,31,17,34,94,80
138,10.0,15,73,89,61,20,72,18,51,16,96
139,10.0,57,81,9,6,37,36,51,33,92,39
140,10.0,44,51,80,24,76,6,92,81,91,19
141,10.0,20,84,10,42,66,14,96,53,64,79
142,10.0,10,24,20,24,31,23,90,52,48,44
143,10.0,44,75,43,60,11,48,33,28,97,80
144,10.0,88,62,39,27,83,15,33,95,42,85
145,10.0,95,19,5,97,50,85,28,61,75,30
146,10.0,52,20,7,64,27,15,76,71,96,58
147,10.0,7,48,95,4,20,88,5,6,74,49
148,10.0,4,65,8,56,29,6,26,64,62,98
149,10.0,79,4,22,50,85,56,21,95,57,12
150,10.0,4,39,77,43,84,32,74,36,64,50
151,10.0,19,91,17,70,94,12,97,30,32,79
152,10.0,22,15,24,53,70,6,94,61,40,50
153,10.0,14,86,4,33,18,81,71,66,80,35
154,10.0,11,96,78,80,79,79,25,8,3,58
155,10.0,7,19,38,87,85,65,37,17,43,27
156,10.0,21,33,9,83,29,19,67,38,50,9
157,10.0,41,53,47,43,12,58,90,11,88,23
158,10.0,64,77,25,15,1,84,1,14,41,19
159,10.0,35,14,97,24,88,57,34,30,41,40
160,10.0,96,48,35,3,65,97,84,65,60,12
161,10.0,46,89,91,25,58,30,7,62,25,2
162,10.0,37,87,93,46,72,30,42,83,27,6
163,10.0,87,21,20,61,82,58,12,43,74,20
164,10.0,46,89,34,34,91,60,76,5,2,28
165,10.0,66,8,18,65,28,80,51,57,53,78
166,10.0,33,65,72,87,83,1,94,92,29,39
167,10.0,42,32,12,43,19,28,40,27,30,80
168,10.0,18,50,18,18,36,75,38,65,54,54
169,10.0,64,41,37,34,43,27,68,54,45,71
170,10.0,32,70,45,49,93,5,17,10,71,60
171,10.0,9,84,5,45,56,69,76,22,89,4
172,10.0,7,22,15,2,50,34,23,19,33,33
173,10.0,39,89,81,35,65,8,23,32,98,15
174,10.0,71,23,69,73,82,46,9,45,13,16
175,10.0,9,56,44,24,5,22,71,51,4,70
176,10.0,78,98,82,17,20,28,55,74,66,79
177,10.0,59,74,43,30,86,7,10,7,55,57
178,10.0,56,95,79,11,92,79,24,95,72,7
179,10.0,78,39,87,84,86,35,39,69,29,43
180,10.0,27,3,89,39,74,74,6,62,24,9
181,10.0,13,73,23,19,93,5,98,21,81,79
182,10.0,34,78,20,3,52,57,65,9,45,59
183,10.0,35,84,81,64,50,23,27,27,87,58
184,10.0,8,15,15,7,86,3,8,84,38,26
185,10.0,64,65,79,34,4,31,97,45,65,63
186,10.0,58,8,60,68,15,86,78,16,9,20
187,10.0,66,66,3,94,79,69,63,86,57,86
188,10.0,27,42,23,34,72,67,94,25,34,20
189,10.0,81,81,79,13,44,14,58,26,78,30
190,10.0,95,23,21,6,70,84,33,63,65,7
191,10.0,80,29,82,75,45,51,87,91,71,13
192,10.0,41,90,8,63,11,34,95,11,76,63
193,10.0,84,29,2,64,98,32,7,33,25,25
194,10.0,67,22,70,73,4,96,98,75,48,2
195,10.0,56,13,74,24,86,3,68,41,7,14
196,10.0,74,73,7,9,42,46,43,51,3,71
197,10.0,29,16,18,36,86,22,71,59,77,20
198,10.0,88,37,16,91,9,55,39,82,40,76
199,10.0,41,13,39,31,98,70,23,97,81,93
200,10.0,18,36,45,63,84,79,25,54,31,96
201,10.0,12,3,39,27,70,31,35,88,72,66
202,10.0,8,54,37,19,13,91,15,41,97,43
203,10.0,29,84,26,67,22,4,63,9,57,92
204,10.0,90,39,69,79,71,85,86,73,52,52
205,10.0,94,83,32,2,39,41,28,67,69,7
206,10.0,54,85,3,13,52,73,27,81,39,85
207,10.0,32,4,18,51,85,95,60,60,60,82
208,10.0,31,3,43,67,32,48,45,81,67,1
209,10.0,79,56,8,91,5,97,88,84,28,30
210,10.0,17,38,95,23,74,24,11,43,74,28
211,10.0,91,60,60,34,54,42,92,33,86,20
212,10.0,42,92,1,92,31,87,28,96,90,66
213,10.0,93,53,62,3,68,97,28,77,12,90
214,10.0,34,32,79,35,65,88,97,49,73,41
215,10.0,57,55,46,95,81,91,59,77,21,73
216,10.0,68,7,5,14,51,5,85,53,13,31
217,10.0,10,58,7,74,40,59,73,71,50,89
218,10.0,57,86,84,55,82,28,24,10,55,75
219,10.0,76,19,55,9,36,87,43,33,76,20
220,10.0,27,96,37,27,7,56,35,89,19,76
221,10.0,35,39,38,73,43,15,29,54,54,92
222,10.0,18,84,93,22,42,57,50,6,95,32
223,10.0,88,57,94,55,10,69,69,42,76,2
224,10.0,13,92,14,82,29,5,50,34,66,1
225,10.0,14,24,48,92,2,27,30,78,14,94
226,10.0,83,82,83,56,50,9,8,89,6,17
227,10.0,75,42,70,68,80,52,27,37,41,34
228,10.0,71,69,72,24,72,66,75,39,55,18
229,10.0,11,59,20,69,12,71,65,73,84,65
230,10.0,10,37,25,7,16,27,63,93,39,85
231,10.0,7,80,77,36,6,49,29,59,25,93
232,10.0,83,84,98,57,41,15,85,57,37,74
233,10.0,26,42,81,44,58,95,73,60,29,5
234,10.0,58,60,81,98,38,55,26,15,76,68
235,10.0,76,39,54,97,70,21,52,36,15,28
236,10.0,10,23,19,62,28,58,32,45,28,9
237,10.0,4,39,73,89,40,9,48,62,64,87
238,10.0,2,72,26,48,50,68,16,25,58,89
239,10.0,19,8,38,50,85,44,50,55,83,78
240,10.0,76,39,64,23,77,24,88,34,71,81
241,10.0,67,23,41,96,90,60,29,15,31,3
242,10.0,53,76,32,7,19,77,95,12,84,67
243,10.0,12,76,62,64,28,98,6,82,90,28
244,10.0,12,13,61,18,90,75,30,17,52,37
245,10.0,53,29,80,35,79,43,82,31,66,92
246,10.0,42,73,18,56,51,42,71,41,44,3
247,10.0,69,84,59,36,34,43,66,56,70,39
248,10.0,89,16,54,91,2,3,67,64,50,2
249,10.0,89,97,22,20,66,78,25,47,69,64
250,10.0,94,98,97,72,87,70,64,17,98,64
251,10.0,17,2,9,29,18,61,83,84,16,29
252,10.0,42,28,12,47,69,93,86,72,43,3
253,10.0,39,98,39,68,38,89,82,23,40,70
254,10.0,91,58,62,91,50,24,94,2,12,69
255,10.0,89,58,96,77,40,41,24,46,4,39
256,10.0,76,90,49,1,54,89,7,43,45,1
257,10.0,34,63,41,78,48,86,43,33,17,59
258,10.0,13,64,30,72,36,32,18,19,34,55
259,10.0,95,90,52,95,44,1,21,37,59,58
260,10.0,89,98,58,61,69,47,17,29,31,19
261,10.0,23,60,11,45,25,60,40,35,82,34
262,10.0,21,38,40,84,32,21,87,61,18,4
263,10.0,30,16,51,28,22,38,75,32,29,11
264,10.0,32,5,14,19,14,52,76,51,96,41
265,10.0,92,15,3,55,87,83,69,18,87,12
266,10.0,79,83,51,18,69,2,41,70,15,60
267,10.0,39,87,70,41,86,77,14,14,15,4
268,10.0,69,68,80,69,68,87,91,11,90,28
269,10.0,67,66,16,76,18,92,3,81,69,96
270,10.0,42,62,66,33,96,92,94,28,10,64
271,10.0,91,84,71,47,17,67,80,12,29,35
272,10.0,44,4,88,44,67,71,24,50,39,92
273,10.0,70,68,42,40,16,93,40,63,73,88
274,10.0,30,21,70,60,17,26,90,73,94,54
275,10.0,69,52,69,47,22,73,8,52,19,68
276,10.0,24,86,82,59,59,72,56,50,67,48
277,10.0,69,37,15,86,3,17,85,88,30,36
278,10.0,74,46,35,63,81,67,35,47,82,43
279,10.0,19,55,83,27,1,7,25,32,20,26
280,10.0,33,11,51,6,40,16,90,64,57,25
281,10.0,42,2,92,85,53,88,74,48,38,77
282,10.0,21,94,15,38,31,1,55,37,53,91
283,10.0,19,87,4,53,8,82,61,93,67,48
284,10.0,4,52,47,60,84,40,92,83,86,13
285,10.0,61,82,88,88,56,29,98,84,26,72
286,10.0,50,84,66,24,59,32,62,33,85,44
287,10.0,2,58,33,25,63,84,2,82,3,19
288,10.0,72,63,66,89,71,76,57,98,51,24
289,10.0,24,29,22,71,26,44,73,21,24,7
290,10.0,10,58,74,50,50,21,49,23,37,49
291,10.0,2,68,97,10,92,72,94,48,46,52
292,10.0,29,91,65,97,78,57,65,19,12,22
293,10.0,82,78,58,20,21,39,68,56,86,20
294,10.0,62,42,18,80,95,63,91,39,64,36
295,10.0,38,40,89,72,25,58,48,57,4,42
296,10.0,75,48,1,10,74,48,14,81,16,79
297,10.0,30,76,66,95,47,66,49,38,27,65
298,10.0,1,62,66,89,56,71,68,48,31,96
299,10.0,26,18,84,30,37,42,6,66,30,53
300,10.0,19,65,89,52,37,73,3,53,62,39
301,10.0,55,72,61,15,1,35,5,42,46,63
302,10.0,76,45,38,33,84,71,60,74,54,93
303,10.0,84,57,49,84,61,96,53,45,20,13
304,10.0,98,97,60,25,12,27,31,90,24,71
305,10.0,58,55,58,45,39,7,3,7,89,2
306,10.0,31,66,80,68,67,20,66,67,69,84
307,10.0,85,71,71,68,51,39,52,17,19,54
308,10.0,1,69,60,17,56,22,92,32,27,32
309,10.0,14,45,68,11,87,21,84,68,29,54
310,10.0,90,77,89,83,24,89,82,28,22,73
311,10.0,54,71,81,74,8,32,36,28,56,75
312,10.0,54,24,52,53,57,18,51,9,81,68
313,10.0,28,97,58,19,53,55,50,93,81,33
314,10.0,42,17,46,28,52,42,84,32,33,98
315,10.0,3,94,30,60,14,13,66,27,71,36
316,10.0,58,67,16,68,67,32,48,97,16,91
317,10.0,6,72,90,31,89,20,37,35,19,64
318,10.0,90,91,18,45,83,64,51,37,83,78
319,10.0,28,95,79,27,25,1,54,47,88,63
320,10.0,47,96,14,98,3,18,9,97,88,48
321,10.0,58,95,6,95,65,89,51,17,72,74
322,10.0,51,2,90,7,36,78,97,62,75,20
323,10.0,54,29,54,76,17,50,70,18,51,41
324,10.0,98,43,59,60,35,52,60,73,29,85
325,10.0,96,16,88,40,98,49,2,26,51,78
326,10.0,18,59,31,34,78,60,75,28,55,35
327,10.0,88,95,8,55,98,47,52,84,80,12
328,10.0,2,36,67,84,54,64,5,57,60,76
329,10.0,68,90,47,10,57,97,26,59,47,4
330,10.0,58,49,46,54,58,74,60,54,1,93
331,10.0,33,13,70,69,10,36,10,28,87,98
332,10.0,79,67,5,17,69,2,37,7,25,35
333,10.0,7,13,55,49,42,67,70,42,58,70
334,10.0,56,14,82,51,50,8,22,39,29,93
335,10.0,40,58,74,11,18,82,49,79,37,93
336,10.0,36,55,65,27,32,30,88,14,53,36
337,10.0,2,82,44,61,27,38,96,28,36,76
338,10.0,73,14,93,93,51,74,15,20,15,59
339,10.0,69,1,52,64,78,8,20,95,37,87
340,10.0,65,78,84,23,28,14,86,67,82,82
341,10.0,43,37,86,36,8,84,18,39,43,87
342,10.0,48,3,49,12,89,48,44,42,6,66
343,10.0,6,65,10,77,37,71,44,7,76,87
344,10.0,76,14,4,32,62,60,14,70,62,89
345,10.0,93,16,70,20,75,43,85,93,25,42
346,10.0,21,38,45,4,72,22,65,41,56,90
347,10.0,46,96,53,69,66,75,55,68,28,33
348,10.0,62,67,40,36,50,19,13,81,50,44
349,10.0,76,15,66,3,84,65,51,83,74,6
350,10.0,25,47,62,84,61,19,11,48,10,61
351,10.0,90,66,64,65,31,24,97,15,70,52
352,10.0,15,80,87,56,40,14,5,34,63,40
353,10.0,58,17,10,59,36,92,57,40,87,6
354,10.0,79,45,3,38,38,72,53,87,34,16
355,10.0,15,25,47,67,45,73,37,43,79,96
356,10.0,48,46,38,55,54,97,87,46,81,51
357,10.0,61,62,7,1,17,36,61,69,25,84
358,10.0,29,62,73,19,8,41,39,66,12,88
359,10.0,50,37,37,91,9,26,66,75,18,85
360,10.0,8,12,85,20,94,79,4,4,46,51
361,10.0,60,68,85,28,64,24,24,71,54,78
362,10.0,7,36,67,67,93,18,73,19,54,23
363,10.0,25,39,40,32,38,66,26,62,6,35
364,10.0,81,19,86,78,31,20,57,90,58,55
365,10.0,66,65,63,79,14,20,3,82,75,34
366,10.0,85,46,48,3,24,15,51,14,55,70
367,10.0,96,23,69,72,69,97,40,22,33,9
368,10.0,66,98,89,66,92,24,7,63,62,17
369,10.0,97,64,97,87,90,81,15,65,22,78
370,10.0,11,25,5,70,62,74,79,34,24,79
371,10.0,52,55,41,48,55,51,21,14,45,14
372,10.0,5,3,97,91,26,59,46,31,34,37
373,10.0,91,59,89,83,20,33,68,86,81,11
374,10.0,33,77,32,66,69,30,13,68,9,98
375,10.0,1,71,4,88,74,32,96,1,81,41
376,10.0,9,90,21,80,6,71,41,65,33,85
377,10.0,14,59,64,49,23,7,78,37,9,12
378,10.0,11,57,85,1,84,63,21,56,28,34
379,10.0,35,71,38,6,60,3,94,56,54,80
380,10.0,51,4,46,89,81,81,17,81,33,34
381,10.0,7,47,51,19,27,35,53,96,18,16
382,10.0,57,54,27,82,62,87,65,22,18,7
383,10.0,84,47,3,90,26,46,79,67,53,70
384,10.0,88,67,80,66,28,16,89,66,38,75
385,10.0,44,18,97,3,54,4,76,28,10,95
386,10.0,35,87,52,33,96,21,84,61,88,82
387,10.0,48,7,68,7,98,69,68,9,16,40
388,10.0,66,17,85,57,51,32,64,3,55,94
389,10.0,89,25,20,92,52,8,37,88,36,66
390,10.0,21,94,83,94,77,14,44,93,88,30
391,10.0,72,67,78,6,89,4,74,29,69,80
392,10.0,1,5,81,59,47,32,69,17,21,94
393,10.0,87,83,92,1,79,71,92,10,8,70
394,10.0,9,92,46,80,70,28,27,64,28,18
395,10.0,59,38,45,69,69,82,50,20,12,72
396,10.0,22,75,29,79,51,9,28,92,27,90
397,10.0,83,37,91,79,80,68,18,15,75,27
398,10.0,13,85,81,13,2,86,70,42,45,85
399,10.0,91,78,12,79,66,68,33,7,63,51
400,10.0,37,10,95,41,49,22,30,20,52,46
401,10.0,12,86,30,81,11,62,62,55,88,81
402,10.0,80,41,92,32,91,50,97,46,33,49
403,10.0,9,59,88,42,80,33,82,71,28,32
404,10.0,33,98,93,80,94,46,44,90,4,86
405,10.0,94,8,71,49,19,3,18,12,7,3
406,10.0,88,85,51,27,98,5,12,78,83,5
407,10.0,65,50,48,56,20,59,17,23,7,4
408,10.0,6,88,49,8,2,98,24,92,47,11
409,10.0,11,27,40,23,13,68,52,58,87,87
410,10.0,78,6,24,96,95,54,74,66,57,90
411,10.0,72,76,42,13,76,32,54,49,73,78
412,10.0,34,14,10,12,93,97,94,10,12,47
413,10.0,78,27,50,5,1,23,65,24,57,45
414,10.0,70,11,64,66,91,87,48,1,28,47
415,10.0,17,5,24,21,41,46,81,12,55,56
416,10.0,36,36,62,88,92,3,43,53,24,47
417,10.0,45,4,96,30,50,59,47,58,69,92
418,10.0,78,87,98,91,72,65,46,89,38,89
419,10.0,38,4,34,42,65,1,12,40,69,75
420,10.0,96,6,34,30,36,62,52,71,23,55
421,10.0,52,17,81,25,18,86,29,51,22,64
422,10.0,6,55,42,46,86,21,87,57,20,77
423,10.0,82,15,41,34,89,13,51,59,41,12
424,10.0,34,33,32,41,81,54,71,5,1,27
425,10.0,71,19,69,74,75,70,42,29,36,56
426,10.0,82,63,10,59,45,18,52,83,96,25
427,10.0,41,59,24,41,29,49,30,44,5,72
428,10.0,25,50,6,51,40,30,89,58,2,16
429,10.0,35,63,45,32,91,7,64,16,78,16
430,10.0,85,76,36,21,8,26,46,40,78,28
431,10.0,71,63,56,85,42,3,50,1,61,4
432,10.0,79,46,98,79,56,81,98,68,19,75
433,10.0,20,20,13,49,44,61,9,46,56,25
434,10.0,1,77,38,68,66,58,59,95,73,25
435,10.0,4,97,27,96,18,93,40,24,66,21
436,10.0,10,59,41,84,46,44,97,96,11,96
437,10.0,41,43,31,98,3,86,16,37,61,14
438,10.0,4,55,55,38,47,54,98,74,41,70
439,10.0,76,29,19,84,94,41,24,27,37,33
440,10.0,42,8,12,93,52,8,47,25,49,24
441,10.0,22,45,43,82,76,40,74,17,49,28
442,10.0,28,75,35,40,25,54,64,82,55,42
443,10.0,7,7,74,13,78,24,95,51,77,61
444,10.0,40,67,21,2,76,93,19,35,68,42
445,10.0,54,14,25,54,88,52,8,18,24,79
446,10.0,82,90,39,24,36,33,15,10,12,5
447,10.0,25,73,43,48,8,84,81,18,77,59
448,10.0,77,78,16,82,19,93,45,93,40,88
449,10.0,19,33,85,46,33,35,72,27,67,42
450,10.0,3,92,34,14,16,79,89,4,52,26
451,10.0,7,59,53,62,52,34,51,36,8,60
452,10.0,50,6,21,25,40,92,52,2,8,9
453,10.0,26,5,14,61,55,85,45,13,69,90
454,10.0,53,17,31,90,39,30,40,40,20,69
455,10.0,86,91,16,17,73,86,41,9,19,53
456,10.0,43,74,26,17,90,64,1,25,26,79
457,10.0,34,52,96,77,53,87,66,51,73,41
458,10.0,97,9,66,9,75,37,96,76,56,5
459,10.0,96,91,71,20,86,66,6,44,85,14
460,10.0,36,58,81,35,84,44,7,55,35,76
461,10.0,61,38,70,49,88,87,20,63,2,92
462,10.0,13,98,32,18,34,15,38,64,55,90
463,10.0,90,4,2,78,92,19,42,12,46,60
464,10.0,5,14,76,91,24,26,97,32,52,93
465,10.0,94,35,34,35,98,84,59,58,53,9
466,10.0,91,20,66,14,63,83,12,23,28,30
467,10.0,46,92,61,38,91,4,53,35,86,52
468,10.0,33,75,38,44,2,39,29,45,84,17
469,10.0,84,98,73,34,17,52,19,26,23,49
470,10.0,59,98,32,20,34,89,17,81,18,34
471,10.0,30,32,69,15,55,32,57,29,77,74
472,10.0,74,7,76,5,92,87,31,41,97,4
473,10.0,66,35,53,88,9,46,9,17,69,31
474,10.0,44,65,25,25,7,3,97,91,24,90
475,10.0,76,89,85,83,52,82,77,74,15,35
476,10.0,98,55,1,85,15,34,89,16,12,65
477,10.0,55,45,89,91,70,69,59,59,90,77
478,10.0,58,34,64,85,9,95,34,90,19,8
479,10.0,55,41,4,10,12,79,95,75,77,20
480,10.0,15,89,39,75,52,49,27,23,92,90
481,10.0,98,73,87,47,25,70,67,15,86,20
482,10.0,54,40,8,50,22,59,8,82,8,12
483,10.0,92,82,76,37,61,72,9,66,78,56
484,10.0,45,15,47,9,76,32,12,53,9,5
485,10.0,43,87,13,8,61,9,91,65,39,39
486,10.0,17,83,52,27,91,6,46,78,97,28
487,10.0,60,40,82,24,63,10,57,13,73,72
488,10.0,90,66,71,59,30,63,57,16,82,16
489,10.0,85,13,58,70,36,66,77,85,13,12
490,10.0,57,17,22,33,38,67,75,54,53,86
491,10.0,59,63,81,43,66,48,70,6,35,34
492,10.0,27,82,10,84,74,69,90,89,82,76
493,10.0,97,98,86,75,48,11,33,37,62,88
494,10.0,47,41,31,6,70,3,93,83,66,78
495,10.0,96,7,76,73,1,18,36,72,35,22
496,10.0,21,62,43,92,28,80,74,62,22,76
497,10.0,12,31,78,2,58,57,23,12,19,30
498,10.0,71,33,95,69,36,98,55,17,32,10
499,10.0,76,44,46,5,92,48,70,21,15,71
500,10.0,16,52,64,19,64,64,39,41,71,89
501,10.0,19,3,80,2,59,72,69,5,63,30
502,10.0,28,72,50,13,3,48,92,42,2,72
503,10.0,25,56,1,21,19,40,23,58,42,59
504,10.0,1,38,6,6,12,23,86,59,51,45
505,10.0,34,83,95,79,43,68,95,86,38,20
506,10.0,61,92,8,43,25,34,60,25,86,61
507,10.0,41,73,48,63,86,28,61,32,86,64
508,10.0,4,21,29,27,46,51,52,79,72,32
509,10.0,93,76,86,69,81,59,80,59,68,91
510,10.0,80,50,73,73,49,89,51,42,35,38
511,10.0,46,26,96,26,43,97,80,57,19,37
512,10.0,92,71,40,86,20,89,50,11,53,17
513,10.0,31,76,39,50,98,70,77,98,68,12
514,10.0,58,20,7,70,19,52,66,70,60,2
515,10.0,4,90,4,66,77,22,81,81,86,4
516,10.0,33,41,61,73,34,58,36,90,2,13
517,10.0,39,84,12,34,55,15,50,44,88,81
518,10.0,79,9,41,16,18,23,8,51,92,68
519,10.0,40,85,32,74,27,28,29,1,55,94
520,10.0,63,9,35,26,23,61,11,96,95,1
521,10.0,32,26,79,9,28,84,60,74,73,1
522,10.0,30,70,83,76,57,52,61,37,72,8
523,10.0,76,54,51,13,85,7,24,63,85,57
524,10.0,45,35,31,29,88,6,15,81,31,18
525,10.0,10,11,16,7,82,96,74,97,7,13
526,10.0,8,87,90,23,73,67,90,31,69,52
527,10.0,41,98,31,84,78,23,88,68,98,15
528,10.0,6,1,1,12,42,47,86,55,55,33
529,10.0,26,81,92,88,84,89,30,42,84,91
530,10.0,45,94,26,26,76,70,80,53,58,54
531,10.0,40,46,48,8,72,11,7,8,21,33
532,10.0,94,63,32,75,20,7,64,70,42,70
533,10.0,52,71,34,65,25,73,73,7,9,37
534,10.0,36,64,9,6,11,56,43,5,45,38
