,demand,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
61,10.0,88,61,40,83,17,26,89,46,37,24
62,10.0,66,79,41,71,54,75,44,11,55,52
63,10.0,4,57,18,47,32,20,27,64,53,58
64,10.0,82,76,19,16,56,42,94,56,54,41
65,10.0,20,48,86,56,60,81,77,88,57,9
66,10.0,96,48,90,37,37,15,20,10,84,67
67,10.0,98,84,14,70,80,45,7,29,3,66
68,10.0,36,91,98,68,83,46,7,84,49,73
69,10.0,36,40,12,46,72,76,55,73,11,48
70,10.0,92,51,93,21,77,62,74,52,77,81
71,10.0,64,22,78,93,53,44,12,98,22,18
72,10.0,28,53,12,97,24,71,2,57,19,6
73,10.0,63,31,93,74,78,19,35,73,21,50
74,10.0,47,49,56,70,38,22,10,54,22,40
75,10.0,32,13,71,24,41,61,52,77,8,13
76,10.0,4,59,30,51,32,86,50,59,63,89
77,10.0,57,59,73,23,67,16,95,64,67,96
78,10.0,13,4,11,30,60,82,39,27,10,63
79,10.0,46,85,86,86,95,58,92,52,16,14
80,10.0,41,85,36,39,25,80,10,32,3,70
81,10.0,18,34,6,40,21,57,10,72,80,77
82,10.0,67,1,39,7,22,52,66,11,2,67
83,10.0,83,55,26,75,2,95,94,53,38,46
84,10.0,92,82,69,75,38,9,21,42,31,62
85,10.0,4,1,56,76,98,70,42,62,78,53
86,10.0,59,97,2,9,12,58,9,22,60,67
87,10.0,97,76,44,58,70,96,39,62,18,79
88,10.0,29,45,58,51,25,18,98,88,78,23
89,10.0,33,45,12,70,36,49,11,68,20,78
90,10.0,4,90,76,58,62,80,12,74,14,10
91,10.0,97,66,8,28,3,84,64,63,62,71
92,10.0,20,22,76,55,39,20,9,95,35,70
93,10.0,88,68,14,78,70,55,21,88,68,32
94,10.0,62,6,32,95,73,31,58,48,19,28
95,10.0,94,87,46,27,84,43,22,16,7,49
96,10.0,66,77,34,54,10,74,95,17,4,55
97,10.0,61,84,66,42,45,96,65,23,30,44
98,10.0,85,89,22,43,80,38,33,24,21,64
99,10.0,28,37,66,51,60,38,63,49,67,15
100,10.0,84,30,28,27,61,17,17,31,79,62
101,10.0,90,19,48,8,63,59,3,80,43,68
102,10.0,94,41,91,50,81,34,97,64,44,43
103,10.0,73,62,50,19,33,28,40,55,4,1
104,10.0,34,47,11,76,8,97,38,43,20,69
105,10.0,96,66,9,38,9,48,38,23,57,39
106,10.0,65,12,61,97,91,94,52,63,43,54
107,10.0,18,69,72,82,26,97,69,38,38,56
108,10.0,4,5,70,77,91,65,80,73,54,95
109,10.0,91,32,76,69,5,53,37,34,43,44
110,10.0,37,28,71,95,31,11,44,70,42,87
111,10.0,87,64,94,59,60,63,73,94,18,54
112,10.0,46,64,53,46,33,82,93,2,95,52
113,10.0,4,15,70,23,93,70,90,47,23,20
114,10.0,3,92,85,10,23,62,63,54,28,3
115,10.0,48,31,35,86,69,10,55,33,54,76
116,10.0,16,53,11,50,71,95,49,45,78,94
117,10.0,70,17,45,75,17,45,50,8,29,34
118,10.0,20,17,52,7,12,41,86,52,76,58
119,10.0,49,54,33,70,75,23,58,65,43,27
120,10.0,63,51,59,20,21,91,20,50,4,84
121,10.0,95,63,73,24,25,58,67,23,35,92
122,10.0,72,40,43,25,10,6,64,38,37,17
123,10.0,2,38,52,11,12,60,64,62,71,3
124,10.0,78,8,53,36,62,87,30,27,91,33
125,10.0,33,39,42,47,10,44,29,42,1,38
126,10.0,63,50,86,29,6,37,49,49,82,57
127,10.0,31,58,7,9,70,3,53,81,76,53
128,10.0,69,91,84,5,11,51,75,19,56,1
129,10.0,18,88,50,68,39,2,31,3,22,42
130,10.0,35,16,41,75,41,96,67,68,75,73
131,10.0,50,13,2,58,7,93,84,63,90,70
132,10.0,71,25,68,26,5,22,33,47,81,22
133,10.0,94,73,62,94,78,82,69,94,61,3
134,10.0,26,22,18,82,25,38,35,26,3,72
135,10.0,8,94,12,26,16,7,40,34,1,66
136,10.0,67,22,29,66,47,27,70,47,83,56
137,10.0,42,10,66,71,19,64,82,42,1,68
138,10.0,78,85,4,3,85,14,22,76,73,21
139,10.0,16,32,52,67,93,4,76,89,52,33
140,10.0,20,52,7,64,22,83,56,62,84,66
141,10.0,71,31,2,62,46,43,73,29,94,81
142,10.0,50,34,83,18,21,40,30,94,82,96
143,10.0,77,92,42,16,36,67,40,51,51,85
144,10.0,81,97,94,34,62,79,24,95,56,49
145,10.0,56,60,7,34,46,55,55,76,41,46
146,10.0,68,26,6,69,27,6,18,75,75,63
147,10.0,19,1,64,51,97,64,75,69,45,23
148,10.0,47,1,47,37,70,11,61,69,94,28
149,10.0,56,33,59,2,87,13,74,49,10,71
150,10.0,5,93,3,55,9,12,37,79,14,94
151,10.0,23,51,20,78,95,58,8,96,43,28
152,10.0,55,34,4,64,3,16,57,15,16,43
153,10.0,61,63,62,94,11,35,25,72,74,33
154,10.0,32,69,28,52,96,76,38,36,95,46
155,10.0,23,8,50,34,97,77,8,55,54,12
156,10.0,35,73,57,45,95,25,93,88,66,83
157,10.0,26,12,55,70,94,46,84,11,44,8
158,10.0,77,81,46,20,37,74,98,54,73,31
159,10.0,77,6,60,29,96,59,14,88,97,5
160,10.0,80,21,86,24,32,5,24,6,60,8
161,10.0,63,83,1,89,12,95,61,8,57,54
162,10.0,33,76,12,15,70,60,57,50,37,72
163,10.0,47,4,76,40,40,46,14,17,6,82
164,10.0,38,1,25,5,57,25,67,48,39,38
165,10.0,75,34,60,53,72,24,10,36,51,23
166,10.0,51,39,68,46,37,42,33,32,64,39
167,10.0,46,58,97,27,27,1,68,74,26,56
168,10.0,19,17,90,48,25,84,4,41,50,65
169,10.0,33,55,98,73,60,61,81,96,82,93
170,10.0,14,40,75,12,35,75,2,10,37,94
171,10.0,72,67,86,18,71,60,56,36,59,33
172,10.0,73,43,85,98,49,22,14,55,30,32
173,10.0,6,27,96,64,97,44,52,17,71,44
174,10.0,7,7,70,36,92,11,17,92,43,34
175,10.0,42,59,9,74,22,15,79,46,47,2
176,10.0,54,27,85,15,84,77,25,90,79,60
177,10.0,23,14,64,75,86,43,43,85,28,75
178,10.0,72,62,85,26,58,90,71,62,56,86
179,10.0,58,37,31,36,41,68,20,62,34,69
180,10.0,49,3,8,39,84,5,95,56,43,13
181,10.0,25,72,98,51,37,50,36,94,73,27
182,10.0,98,79,27,59,79,69,41,82,82,92
183,10.0,35,56,27,40,71,4,67,87,8,67
184,10.0,43,85,20,44,2,86,33,12,82,59
185,10.0,91,89,94,49,13,91,23,49,42,48
186,10.0,3,78,16,49,35,49,46,29,97,75
187,10.0,34,61,78,22,44,69,9,12,42,30
188,10.0,8,46,56,83,78,75,4,87,27,61
189,10.0,38,26,98,57,1,26,35,29,42,18
190,10.0,78,26,15,19,72,97,48,82,65,90
191,10.0,67,19,6,14,1,43,86,86,71,4
192,10.0,57,12,7,35,3,12,58,60,88,6
193,10.0,24,52,81,90,21,58,57,50,79,3
194,10.0,77,45,7,2,42,64,85,64,18,11
195,10.0,13,65,25,96,91,59,3,31,64,2
196,10.0,66,93,66,49,44,2,2,48,87,58
197,10.0,16,48,2,95,57,17,62,25,84,75
198,10.0,5,22,60,85,89,23,5,88,34,3
199,10.0,8,95,20,23,18,4,90,30,13,48
200,10.0,74,29,3,49,93,86,23,79,90,42
201,10.0,39,31,89,12,74,75,50,62,36,35
202,10.0,58,28,75,76,1,45,68,61,88,48
203,10.0,28,78,26,33,51,39,50,19,60,73
204,10.0,67,9,83,14,38,65,3,96,44,77
205,10.0,4,24,92,97,87,90,94,51,46,86
206,10.0,61,98,1,5,82,49,11,63,26,37
207,10.0,36,91,77,62,50,46,4,97,74,16
208,10.0,46,40,91,94,82,75,51,2,62,74
209,10.0,22,29,13,90,44,66,39,63,81,65
210,10.0,24,60,25,83,48,78,33,13,8,23
211,10.0,16,46,18,54,6,47,80,44,73,3
212,10.0,70,77,70,72,61,37,37,51,42,45
213,10.0,77,45,95,55,16,82,42,32,19,80
214,10.0,97,27,23,98,50,77,49,52,30,47
215,10.0,66,46,70,74,94,61,89,29,79,46
216,10.0,83,34,74,40,74,11,13,71,88,58
217,10.0,7,22,88,39,29,91,84,63,40,18
218,10.0,64,76,64,20,59,64,57,14,87,79
219,10.0,58,6,22,12,65,95,48,5,18,11
220,10.0,5,11,94,34,42,29,4,96,2,62
221,10.0,12,64,86,57,37,46,81,80,12,73
222,10.0,10,86,88,27,46,65,89,81,71,43
223,10.0,94,21,53,14,26,10,44,50,29,68
224,10.0,16,91,34,58,53,89,9,34,92,3
225,10.0,22,9,89,76,1,64,45,11,14,54
226,10.0,96,79,60,32,74,82,24,88,85,48
227,10.0,22,61,36,6,42,80,24,31,26,33
228,10.0,67,35,47,78,95,78,48,81,60,26
229,10.0,46,24,20,51,27,81,62,31,63,61
230,10.0,22,68,45,87,64,17,24,58,62,94
231,10.0,2,39,13,82,63,92,5,7,45,82
232,10.0,78,94,93,32,31,27,18,12,83,73
233,10.0,87,45,45,89,53,46,48,28,6,46
234,10.0,36,61,31,59,38,47,3,60,98,94
235,10.0,48,43,15,12,12,23,93,79,90,69
236,10.0,25,27,84,76,14,23,33,78,38,17
237,10.0,46,44,47,54,88,25,80,33,1,73
238,10.0,87,86,29,44,87,80,87,39,84,77
239,10.0,35,76,74,91,62,11,67,30,58,71
240,10.0,13,83,82,37,69,27,98,36,61,92
241,10.0,71,41,17,97,5,56,40,38,63,59
242,10.0,48,53,28,87,3,64,46,66,25,37
243,10.0,61,18,69,78,72,36,18,26,69,12
244,10.0,95,4,24,52,74,40,57,65,69,75
245,10.0,8,54,91,77,45,66,94,62,3,15
246,10.0,54,70,30,4,84,83,7,96,47,13
247,10.0,88,24,26,95,59,21,36,97,92,39
248,10.0,98,87,12,23,68,95,65,4,61,20
249,10.0,6,58,80,20,56,88,66,42,1,78
250,10.0,36,51,82,87,3,17,1,68,96,74
251,10.0,58,31,95,38,29,72,1,32,34,5
252,10.0,52,88,8,37,6,30,84,38,51,18
253,10.0,29,20,38,71,87,49,33,46,94,2
254,10.0,45,70,17,12,66,74,4,72,25,81
255,10.0,89,10,22,38,82,42,97,36,53,42
256,10.0,7,25,81,47,27,84,58,86,97,91
257,10.0,10,23,29,84,26,96,44,97,54,5
258,10.0,44,98,57,55,39,4,47,51,4,29
259,10.0,47,45,51,80,62,33,37,52,8,97
260,10.0,82,95,33,8,32,12,80,54,91,12
261,10.0,82,19,83,80,82,47,68,95,71,19
262,10.0,46,64,93,68,96,27,47,20,75,68
263,10.0,31,69,25,98,79,57,60,70,67,34
264,10.0,66,73,67,32,86,80,71,59,24,25
265,10.0,88,98,53,50,34,10,82,70,25,52
266,10.0,52,42,10,18,67,80,75,98,41,54
267,10.0,1,41,43,83,24,98,90,38,56,25
268,10.0,63,97,85,20,14,77,96,36,56,46
269,10.0,28,74,67,88,56,61,98,68,11,51
270,10.0,44,86,50,20,73,27,97,73,22,1
271,10.0,20,92,66,38,4,22,33,36,79,93
272,10.0,69,38,2,95,52,91,3,63,53,8
273,10.0,85,42,18,58,93,14,37,76,27,11
274,10.0,55,6,24,16,1,15,12,24,3,96
275,10.0,66,68,47,51,80,78,17,74,78,22
276,10.0,37,5,76,79,17,35,59,88,37,87
277,10.0,32,40,62,69,39,98,2,8,13,95
278,10.0,37,96,9,88,55,20,85,76,32,25
279,10.0,30,1,54,6,57,38,63,92,45,75
280,10.0,1,74,48,96,19,67,54,49,98,69
281,10.0,1,1,67,69,46,8,92,94,38,11
282,10.0,26,84,56,1,42,80,58,46,51,25
283,10.0,52,92,10,84,87,83,43,17,37,79
284,10.0,54,45,54,39,17,38,6,89,74,49
285,10.0,48,6,74,31,22,5,75,86,8,46
286,10.0,58,11,47,39,10,30,44,79,77,36
287,10.0,22,25,18,68,15,15,14,10,84,85
288,10.0,70,64,49,9,11,43,28,64,88,47
289,10.0,8,87,81,35,53,95,12,70,31,88
290,10.0,47,27,12,57,78,2,7,5,5,65
291,10.0,30,14,6,94,45,23,71,75,75,50
292,10.0,19,11,10,38,69,50,86,48,15,16
293,10.0,18,86,74,59,79,14,34,79,38,16
294,10.0,36,29,36,8,11,92,91,26,94,37
295,10.0,57,57,59,24,36,10,1,13,57,2
296,10.0,30,77,86,12,70,37,26,62,81,37
297,10.0,54,64,96,32,49,25,81,37,57,23
298,10.0,16,21,17,69,14,70,51,32,15,70
299,10.0,82,1,28,65,19,9,52,18,21,55
300,10.0,80,86,61,11,86,92,5,68,77,86
301,10.0,96,80,21,79,91,68,13,55,57,88
302,10.0,56,75,4,24,64,90,28,6,39,4
303,10.0,10,74,69,44,23,49,79,53,80,68
304,10.0,39,63,66,63,7,26,16,32,22,64
305,10.0,68,76,80,98,68,31,38,27,35,10
306,10.0,26,92,66,14,24,5,96,55,95,91
307,10.0,48,84,39,68,79,81,4,35,43,3
308,10.0,92,42,9,2,54,28,27,56,83,33
309,10.0,89,33,36,98,75,1,44,87,60,14
310,10.0,22,30,27,21,15,40,21,8,91,22
311,10.0,88,1,87,89,82,69,19,55,40,39
312,10.0,82,86,77,30,22,86,20,70,8,53
313,10.0,29,76,96,32,72,12,80,40,41,38
314,10.0,26,87,33,70,89,22,39,19,76,16
315,10.0,71,81,45,65,19,27,80,8,45,6
316,10.0,67,40,52,1,38,34,51,52,78,2
317,10.0,37,94,53,75,49,13,5,62,38,42
318,10.0,41,70,67,28,52,87,4,43,7,12
319,10.0,62,51,64,79,2,10,98,13,70,8
320,10.0,60,17,46,40,27,37,49,74,31,9
321,10.0,60,29,52,65,25,68,71,12,94,24
322,10.0,11,49,77,85,51,2,25,90,38,44
323,10.0,46,55,32,46,81,70,11,4,65,9
324,10.0,50,71,6,53,34,20,13,52,98,3
325,10.0,23,86,16,87,33,48,27,40,34,20
326,10.0,68,89,22,54,30,70,26,52,85,18
327,10.0,20,98,98,38,58,49,61,37,76,77
328,10.0,93,96,39,37,82,90,93,85,97,49
329,10.0,26,22,89,59,52,52,90,5,96,15
330,10.0,4,58,12,15,10,19,15,65,95,76
331,10.0,91,90,60,23,42,98,9,41,12,44
332,10.0,14,3,34,96,36,20,2,60,38,95
333,10.0,29,11,61,40,49,2,6,38,38,46
334,10.0,42,85,57,61,28,92,60,69,38,52
335,10.0,42,61,50,3,64,55,94,61,79,47
336,10.0,37,73,84,24,37,57,69,40,97,31
337,10.0,44,64,4,91,22,43,4,6,48,8
338,10.0,66,32,86,75,59,72,66,19,80,92
339,10.0,86,87,65,13,63,47,72,20,73,56
340,10.0,82,79,74,20,53,72,86,1,86,88
341,10.0,34,9,39,71,52,18,16,30,96,82
342,10.0,38,8,91,81,37,87,7,37,80,80
343,10.0,80,53,68,30,51,39,92,16,76,88
344,10.0,54,48,34,91,89,51,43,64,44,23
345,10.0,24,53,47,79,87,37,71,17,46,50
346,10.0,57,59,14,91,84,36,45,22,25,39
347,10.0,24,64,5,98,48,62,90,37,37,22
348,10.0,50,29,83,86,81,96,90,66,2,65
349,10.0,79,8,6,89,18,30,67,64,36,52
350,10.0,73,58,84,93,94,85,8,48,78,22
351,10.0,26,95,43,22,25,3,51,55,85,88
352,10.0,46,34,41,13,19,4,69,79,3,50
353,10.0,63,59,96,57,67,43,55,36,92,84
354,10.0,73,64,40,21,1,65,59,51,66,44
355,10.0,79,44,5,69,26,65,40,96,96,44
356,10.0,22,17,62,82,90,4,18,45,74,29
357,10.0,15,24,6,74,91,29,77,12,24,86
358,10.0,31,58,4,18,98,89,44,33,90,6
359,10.0,58,61,93,58,76,74,23,45,74,82
360,10.0,78,57,93,56,73,44,19,12,31,35
361,10.0,15,16,15,30,70,59,23,25,93,18
362,10.0,74,87,22,93,33,97,96,4,16,33
363,10.0,29,15,54,73,65,92,37,55,88,53
364,10.0,62,58,81,70,71,52,92,42,82,43
365,10.0,75,32,30,47,60,25,4,4,54,42
366,10.0,62,1,55,39,60,78,22,6,20,64
367,10.0,97,6,76,70,91,52,79,86,64,64
368,10.0,85,89,9,47,33,73,57,72,8,25
369,10.0,97,35,29,61,72,26,29,62,66,23
370,10.0,73,30,25,18,86,44,74,10,86,42
371,10.0,80,14,6,14,57,14,78,47,33,24
372,10.0,87,23,31,47,68,4,15,64,10,97
373,10.0,47,14,13,93,36,36,98,57,71,50
374,10.0,97,2,25,15,96,22,12,27,57,17
375,10.0,42,50,35,77,24,2,90,13,77,48
376,10.0,75,86,82,43,35,80,39,40,62,78
377,10.0,47,21,33,52,51,82,73,82,63,16
378,10.0,67,46,75,78,12,82,70,55,29,66
379,10.0,28,67,55,31,74,82,39,63,95,74
380,10.0,35,34,86,15,68,80,51,15,48,77
381,10.0,50,26,12,68,36,6,69,44,81,52
382,10.0,12,28,90,71,34,32,53,24,65,31
383,10.0,6,31,35,69,69,45,63,35,74,62
384,10.0,98,4,27,90,5,40,39,9,97,75
385,10.0,91,69,13,98,40,57,20,29,13,66
386,10.0,49,48,32,55,97,78,38,79,26,96
387,10.0,81,44,75,66,23,5,59,16,97,32
388,10.0,33,20,29,21,28,92,86,56,23,8
389,10.0,55,91,90,88,26,32,9,73,36,60
390,10.0,24,71,51,78,87,87,51,2,98,70
391,10.0,47,17,83,79,72,94,53,59,12,60
392,10.0,74,49,78,58,47,12,47,39,49,10
393,10.0,58,43,68,93,15,24,70,47,36,89
394,10.0,54,1,15,71,60,33,44,80,71,33
395,10.0,90,70,63,84,30,64,42,34,15,45
396,10.0,93,90,7,58,42,3,40,35,56,46
397,10.0,52,73,39,79,61,94,78,51,62,86
398,10.0,13,50,33,70,51,70,82,52,40,3
399,10.0,19,31,5,79,98,17,51,30,46,75
400,10.0,97,87,65,65,95,75,12,62,80,50
401,10.0,18,4,97,85,59,60,30,50,93,81
402,10.0,73,33,79,60,62,36,26,48,48,52
403,10.0,41,69,40,81,47,80,29,97,16,43
404,10.0,59,71,85,13,66,77,73,96,37,71
405,10.0,83,33,88,92,13,8,40,14,7,2
406,10.0,22,48,90,71,24,20,35,45,33,78
407,10.0,17,25,27,28,65,41,63,54,27,52
408,10.0,54,56,70,39,46,22,44,90,71,82
409,10.0,41,86,44,50,11,41,22,64,12,31
410,10.0,3,1,2,12,78,52,14,63,19,27
411,10.0,83,34,22,81,53,18,38,66,46,11
412,10.0,78,11,23,13,77,63,36,6,30,32
413,10.0,58,88,41,81,3,85,43,16,10,62
414,10.0,19,43,62,97,57,55,71,48,56,87
415,10.0,47,60,98,32,89,93,41,10,69,61
416,10.0,9,15,38,10,52,86,69,26,50,77
417,10.0,73,3,93,58,74,64,3,73,45,17
418,10.0,35,51,59,87,89,72,64,14,96,3
419,10.0,91,52,20,11,49,28,17,8,40,33
420,10.0,55,15,26,31,34,43,11,78,34,54
421,10.0,51,78,64,67,36,47,11,60,18,34
422,10.0,29,51,8,38,97,91,86,56,1,91
423,10.0,27,19,97,34,93,49,36,77,54,84
424,10.0,86,90,87,64,91,48,36,31,92,24
425,10.0,73,10,47,29,43,23,85,26,22,81
426,10.0,96,7,43,92,74,96,55,90,4,83
427,10.0,41,43,39,47,74,45,2,34,77,4
428,10.0,26,91,3,74,16,11,15,10,36,15
429,10.0,16,39,55,59,44,18,72,38,71,74
430,10.0,7,65,62,29,1,20,55,37,1,9
431,10.0,31,93,78,97,76,5,39,72,75,67
432,10.0,19,77,69,78,60,54,42,17,30,70
433,10.0,47,9,21,25,45,91,56,92,59,69
434,10.0,30,91,3,28,70,89,26,60,25,47
435,10.0,38,36,92,4,40,86,90,73,15,80
436,10.0,63,62,22,79,94,18,92,25,97,53
437,10.0,8,34,6,9,77,17,24,59,38,14
438,10.0,41,73,83,69,19,65,61,22,29,4
439,10.0,90,90,31,47,88,29,19,97,98,15
440,10.0,65,80,55,67,19,71,11,20,32,33
441,10.0,40,76,66,36,93,55,23,72,55,80
442,10.0,57,25,10,70,18,37,77,13,11,72
443,10.0,79,72,84,48,68,86,40,27,96,72
444,10.0,83,66,36,71,18,3,90,36,85,53
445,10.0,42,34,90,53,39,26,89,8,36,21
446,10.0,8,96,58,31,61,91,61,95,69,43
447,10.0,74,85,24,9,62,9,35,32,17,7
448,10.0,35,84,75,57,25,20,33,5,52,22
449,10.0,92,5,93,62,23,29,39,50,56,91
450,10.0,70,63,60,85,37,7,68,71,22,18
451,10.0,33,30,43,95,77,12,35,28,98,67
452,10.0,94,29,2,14,1,85,48,51,81,65
453,10.0,12,89,86,56,47,12,95,80,26,31
454,10.0,81,77,92,37,5,82,65,17,55,80
455,10.0,17,5,39,96,12,3,19,61,35,72
456,10.0,29,77,59,7,26,73,40,78,49,45
457,10.0,49,67,49,51,8,89,95,7,69,8
458,10.0,49,36,20,25,48,12,83,94,44,76
459,10.0,78,17,78,50,56,76,89,81,98,91
460,10.0,38,78,8,79,90,96,9,17,34,53
461,10.0,90,24,86,80,84,77,72,89,46,33
462,10.0,75,4,96,16,27,57,92,39,34,61
463,10.0,75,9,82,93,21,57,93,21,88,26
464,10.0,72,28,75,21,54,69,56,57,24,52
465,10.0,84,2,33,21,66,12,96,68,5,55
466,10.0,57,24,51,11,39,69,26,88,79,93
467,10.0,48,24,38,8,65,56,92,66,42,22
468,10.0,12,52,90,38,15,19,76,3,5,6
469,10.0,49,66,73,4,79,42,36,11,49,37
470,10.0,33,5,10,73,87,84,14,25,20,13
471,10.0,66,37,4,38,25,59,32,33,23,17
472,10.0,40,23,25,39,10,85,24,77,27,82
473,10.0,80,72,59,9,59,10,28,74,90,54
474,10.0,80,68,42,88,85,96,52,69,86,34
475,10.0,52,86,5,48,29,39,21,69,92,15
476,10.0,53,56,42,35,66,82,46,24,85,36
477,10.0,5,79,58,2,72,6,94,69,92,64
478,10.0,90,46,77,18,36,65,1,57,90,20
479,10.0,15,1,51,93,44,68,20,51,35,35
480,10.0,35,13,64,71,30,20,9,81,77,87
481,10.0,46,4,42,76,56,25,25,33,72,47
482,10.0,10,36,88,23,43,71,9,71,74,57
483,10.0,35,82,38,21,7,93,1,22,49,97
484,10.0,51,25,16,26,13,31,50,17,65,47
485,10.0,90,50,40,97,33,64,62,25,20,53
486,10.0,36,73,30,16,7,35,89,48,7,51
487,10.0,19,75,50,57,98,21,60,58,59,38
488,10.0,15,93,11,89,97,70,26,50,68,62
489,10.0,92,97,30,53,31,19,39,25,3,66
490,10.0,26,5,7,34,16,19,27,24,36,11
491,10.0,68,12,60,2,33,97,42,83,48,28
492,10.0,79,32,57,41,32,61,42,88,11,25
493,10.0,83,92,13,43,3,5,52,74,69,25
494,10.0,49,30,12,80,11,93,90,61,54,55
495,10.0,63,4,37,50,50,1,85,69,16,66
496,10.0,10,51,75,80,83,74,15,76,31,3
497,10.0,57,10,70,40,66,21,25,61,36,51
498,10.0,79,71,52,60,17,23,98,80,2,21
499,10.0,16,69,26,22,81,70,30,88,44,67
500,10.0,24,33,64,52,69,35,9,21,4,86
501,10.0,35,44,11,49,97,24,89,84,49,32
502,10.0,10,52,86,41,67,74,71,94,29,70
503,10.0,34,7,14,18,29,22,56,1,70,75
504,10.0,7,18,25,42,19,67,78,4,38,48
505,10.0,92,44,72,94,30,82,78,16,47,26
506,10.0,72,46,49,43,41,70,21,81,36,18
507,10.0,31,57,51,83,17,82,23,40,52,83
508,10.0,2,73,46,7,36,64,77,34,38,77
509,10.0,8,45,86,44,11,84,51,36,59,60
510,10.0,15,16,74,29,53,21,64,19,45,12
511,10.0,16,15,35,26,17,22,83,48,25,91
512,10.0,49,89,33,94,62,25,10,54,88,87
513,10.0,35,22,86,84,33,98,21,58,75,80
514,10.0,94,1,95,41,48,98,25,34,19,39
515,10.0,36,93,4,5,11,49,93,25,11,58
516,10.0,53,10,76,64,84,27,89,74,73,12
517,10.0,18,22,95,94,49,80,67,14,1,11
518,10.0,93,91,89,16,92,13,17,82,98,81
519,10.0,46,21,77,85,16,48,98,77,9,25
520,10.0,47,85,87,49,62,26,52,57,18,27
521,10.0,52,32,87,38,6,4,1,89,23,17
522,10.0,48,77,72,39,23,6,13,31,33,45
523,10.0,30,9,49,92,64,45,24,51,66,77
524,10.0,86,86,2,4,29,17,87,42,70,85
525,10.0,61,92,51,75,16,40,21,10,7,16
526,10.0,88,30,18,87,47,40,43,16,5,81
527,10.0,38,51,89,91,44,61,89,7,70,48
528,10.0,65,15,69,45,11,36,41,59,45,35
529,10.0,85,63,63,11,51,4,12,42,72,35
530,10.0,96,40,69,40,40,29,19,86,66,86
531,10.0,92,12,86,97,10,2,42,49,50,42
532,10.0,41,45,33,47,60,56,84,14,82,55
533,10.0,74,62,18,29,92,76,3,28,38,43
534,10.0,45,87,70,81,79,6,4,22,64,56
